time,T + SeTr + St 15,T + SeTr + St 15,T + SeTr + St 15,T + SeTr + St 10,T + SeTr + St 10,T + SeTr + St 10,T + SeTr + St 7,T + SeTr + St 7,T + SeTr + St 7,T + SeTr + St 5,T + SeTr + St 5,T + SeTr + St 5,T + SeTr ,T + SeTr ,T + SeTr ,T ,T ,T ,Se + T + SeTr + St 15,Se + T + SeTr + St 15,Se + T + SeTr + St 15,Se + T + SeTr + St 10,Se + T + SeTr + St 10,Se + T + SeTr + St 10,Se +T + SeTr + St 7,Se +T + SeTr + St 7,Se +T + SeTr + St 7,Se + T + SeTr + St 5,Se + T + SeTr + St 5,Se + T + SeTr + St 5,Se + To + SeTr,Se + To + SeTr,Se + To + SeTr,Se + To ,Se + To ,Se + To ,Se + ST 15,Se + ST 15,Se + ST 15,Se + ST 10,Se + ST 10,Se + ST 10,Se + ST 7,Se + ST 7,Se + ST 7,Se + ST 5,Se + ST 5,Se + ST 5,Se ,Se ,Se ,Negative ,Negative ,Negative 
6 h 44 min,125033,125798,135173,119448,103101,105946,78715,84555,81637,73079,72295,71581,58957,56341,57457,52093,55534,50719,169458,170775,163277,129886,138108,146948,128498,128528,119494,129895,131054,123405,55600,62436,61019,62257,54773,54709,73500,52075,65308,50113,45537,49734,50238,50828,48066,49723,56467,56422,34127,35421,34721,14640,14376,19394
6 h 46 min,125512,126232,135692,119476,103682,106011,79212,85771,81179,73144,72820,71847,58669,55887,57597,51876,55526,50874,169408,171014,163418,129500,138004,146091,128408,128350,119355,129770,130292,122672,55813,61920,61248,62677,54834,55092,73323,52889,65000,51016,45299,49929,51264,50697,48234,49956,56235,56248,33984,35336,34648,14696,14469,19472
6 h 48 min,125531,126338,136043,119038,103931,106705,79476,85954,81843,73436,73275,71596,59061,56287,57584,51934,55889,50920,169954,171315,162926,129884,137311,146522,128669,128401,119064,129908,130237,123093,55869,62573,60887,62497,54876,54801,73668,52433,64931,51099,45305,50292,51230,51217,48365,49847,56350,56848,34140,35346,34600,14928,14412,19396
6 h 50 min,126904,127609,136686,120069,104744,106638,79314,85809,82218,73146,72960,71972,59250,56366,57675,51976,55814,50664,169603,171383,163888,130052,136511,146505,128504,128914,119630,130611,131421,124585,55733,62142,61120,62750,54891,55545,73793,52231,65341,50742,45605,50375,50987,50839,48965,49706,56746,56522,33982,35454,34714,14622,14502,19445
6 h 52 min,126419,127346,136125,120146,105231,106797,79695,86053,82277,73590,73705,72122,59460,56702,58565,51930,56083,50304,169929,171995,164513,129954,136646,146822,127829,128769,119144,130775,130621,124429,56036,62366,61782,63031,55829,55546,73509,52814,65060,50611,46062,50484,51088,50905,48595,49919,56740,57412,34110,34958,34501,14817,14555,19348
6 h 54 min,127254,127876,136616,121298,105416,106968,80085,86902,82806,73194,74090,72509,59448,56462,57788,52206,55890,51148,170498,170750,165007,130183,135870,147326,128351,128754,118670,129989,130308,123823,55780,62532,61345,62917,55883,55334,73936,52428,65476,50873,45667,50802,51268,51208,49140,50149,57417,57272,33909,35096,34717,14949,14592,19508
6 h 56 min,127401,127286,136843,121370,105564,107459,79980,86933,82152,74036,74157,71856,59456,56906,57915,52160,56145,50967,170208,171549,164877,131041,135585,147266,129278,127948,119353,130595,130764,124209,55851,62217,62054,62774,55368,55432,73702,52764,65306,51175,46112,50862,51480,51526,49125,50265,57002,57288,33910,35259,34769,14783,14497,19468
6 h 58 min,127051,127891,137440,121589,105942,108217,80580,87116,83476,74261,73982,73328,59785,56975,58209,52110,55932,51312,171120,171861,164967,131115,135086,147784,129391,128778,118865,130346,129973,123931,55839,62687,61587,62947,56086,55521,74333,52422,64802,51089,45865,51278,51341,51431,48944,50121,56892,56802,34258,34928,34886,15077,14527,19606
7 h ,127883,128408,138095,122216,105816,108092,80942,87401,83168,74078,74597,73327,60105,56782,58743,52206,56467,51779,169727,172143,165527,131115,135016,146271,129458,128164,118758,130032,130369,124289,56141,62730,61687,62975,55793,55518,74116,52756,65893,51451,46037,51241,51747,51935,49174,50313,57608,57102,34037,35087,34456,14969,14601,19981
7 h 2 min,128135,128554,138951,122447,107147,108585,80946,88110,83589,74158,75030,73662,59858,56887,58942,52384,56318,51403,170502,171944,165993,131105,134754,147655,129144,129134,119594,130966,130262,124011,56091,63163,61801,62992,55913,55644,74282,52958,65531,51305,46097,51576,51826,51857,49412,49793,57427,57857,33993,35467,34981,14919,14468,19588
7 h 4 min,128428,128405,138527,122906,107294,108692,81529,88064,84301,74920,75861,73965,60225,57099,58681,52439,56205,51377,170971,171559,166520,131767,134036,147873,129035,129527,118841,130749,129816,124445,56075,62928,62146,63756,55702,55648,74737,52868,65457,50979,45848,51253,51961,52134,49457,50458,57512,57762,34219,35231,34953,14803,14509,19765
7 h 6 min,128931,129083,139420,123851,106935,109144,81846,88553,84476,75160,75468,74304,60006,57009,58831,52357,56522,51515,170392,172879,165384,131632,134372,147786,129515,128675,118698,130730,129287,124433,56042,63160,61986,63372,56320,55983,74772,53659,65772,50956,46327,51561,52586,52045,49421,50659,58027,58184,33846,35793,34671,14874,14381,19712
7 h 8 min,128139,129234,140392,124593,107613,109680,81205,88643,84591,74927,75990,73928,59985,57436,58478,52458,56848,51447,170697,173135,165539,131827,133420,147588,129356,128554,119024,131304,129937,124044,56476,63428,61968,63607,56153,55709,75171,52900,65846,51212,46530,51964,51863,52217,49543,50485,57788,58461,34299,35356,34869,14845,14520,19655
7 h 10 min,128620,129705,139611,125039,108308,110034,82372,88767,84532,75139,75866,74455,60663,57422,58677,52833,56571,52116,170731,172669,166241,131913,132759,147964,129063,128848,119051,130439,130052,124203,56560,63142,62403,64080,56431,56041,75610,52888,65332,51444,46350,52136,52431,52153,49823,50727,58218,58099,33922,35556,35018,14821,14379,19831
7 h 12 min,129214,129397,139810,125178,108799,110472,82399,88558,84360,75439,75992,74708,60796,57606,58904,53071,56667,51855,169915,172795,167048,131403,133252,148335,130023,129507,118824,131298,129581,124692,56332,63131,63110,64246,56006,56388,74650,53422,66069,51366,46292,51287,52081,51786,49975,51085,57938,57905,34131,35358,34669,14940,14506,19665
7 h 14 min,129020,130123,140634,125904,108870,110768,82455,89375,85050,76104,76609,75251,60810,57523,59181,52814,56831,51782,170889,174090,167337,131929,133580,148583,130246,129905,119601,130653,129792,124884,56156,63714,62569,63505,56360,56210,75466,53275,66351,51822,46157,52298,52286,52240,49656,51291,58145,58162,34101,35503,34840,15098,14550,19700
7 h 16 min,129311,129570,141281,126167,108566,110569,83462,89705,85418,75522,75896,74841,60960,57980,58999,53262,56969,51917,170982,172537,167069,131923,133173,149125,129660,129855,119192,130836,129194,125049,56894,63093,62658,64328,56498,56584,75408,53448,66290,51249,46958,51840,52464,52627,49546,50898,58485,59062,34306,35869,34690,15007,14559,19638
7 h 18 min,129904,129937,141633,125598,109244,111241,83241,89095,85122,75862,77211,75529,61073,58150,59287,52736,56517,51862,170633,173269,167757,131943,132843,148288,130454,129476,119042,131089,129392,124745,56589,63326,63155,64315,56958,56247,75649,53176,66395,51728,46498,52193,53202,51851,50171,50803,58707,58940,34366,35994,34609,14960,14468,19671
7 h 20 min,129618,130846,141925,126711,109911,111594,83524,89766,86049,76352,77332,75410,61185,57685,59105,53351,57575,52201,171024,174238,167318,133226,132868,149210,130531,129306,119341,130942,129489,124946,56643,63268,63162,64220,57210,56358,75506,52645,66248,51911,47126,52409,52883,52184,49890,51538,58550,58924,34313,35775,35172,15054,14242,19725
7 h 22 min,130121,130649,141632,126601,109986,112075,83641,90673,85425,76965,77899,75416,61125,57970,59755,53098,57200,52316,171038,173756,168258,131949,132599,148696,129705,130025,119344,131368,129787,125489,56470,63564,63012,64587,56915,56478,75661,52821,66651,51866,47030,52814,52673,52280,50166,51659,58727,59106,34473,35896,34749,15035,14529,19719
7 h 24 min,129874,130870,142246,128174,110537,111769,84141,90485,85502,76248,77554,75606,61106,57701,59983,53203,57665,52623,171677,173516,167021,132536,133105,148702,130411,129826,119024,131956,128948,124751,56471,63844,62999,64206,56895,56697,75945,53300,66639,51928,46497,52881,52864,52906,50310,51166,59074,58984,34435,35581,35350,15074,14507,19788
7 h 26 min,130572,131207,142451,128397,110005,112590,84249,90295,86808,76782,78050,76324,61451,58287,60323,53670,57480,52588,171029,173322,167939,132556,131695,149030,130421,129765,118412,131505,129208,124874,56840,63516,63385,64563,57312,56235,76679,53461,66271,51698,47248,53121,52958,52764,50154,51489,59212,59447,34648,35884,34712,15073,14453,19514
7 h 28 min,130462,131172,143587,127845,111020,112581,84452,90480,86639,76961,77462,76005,61465,58410,59481,53246,57151,52258,171497,173328,168450,132750,132635,148993,130795,130199,119029,130723,129156,124837,56962,64161,63124,64847,57164,57178,77072,53508,66324,52319,47306,53027,52940,52525,50743,51839,58989,59622,33859,36141,35223,15114,14616,19878
7 h 30 min,131070,131942,143583,129003,110966,113677,84806,90955,86854,76732,78262,76224,61941,57820,60206,53451,57484,52559,171091,174150,168757,133014,131948,149098,131189,130041,119375,131908,129237,124243,57119,63949,63585,64842,57389,56848,76553,53374,67028,52409,47074,52914,53158,52478,50620,51764,59184,59183,34644,35994,35062,15033,14253,19863
7 h 32 min,130827,131902,143825,128981,111139,113470,84839,91374,86794,77089,78275,76835,61818,58290,59752,53419,57590,52568,171586,174775,168405,132601,132215,149203,131239,129634,119297,131347,129434,124544,56508,64097,63235,65166,57408,56992,76890,53594,66710,52053,47185,53094,53504,52825,50385,51811,59491,59699,34641,35511,34832,15206,14608,19579
7 h 34 min,131801,130560,144182,129469,111340,113282,84973,91271,87213,77512,78128,77285,61770,58504,60149,53284,57630,53110,171237,174798,168642,133108,131822,149356,130996,129998,119520,132265,128498,124936,56694,63853,63557,65102,57604,57372,76823,53844,66538,52402,47105,53285,53414,52740,50392,51412,59944,59966,34440,35652,35223,15201,14444,19910
7 h 36 min,130824,131955,144979,129663,111863,113845,85301,92074,87751,77624,78574,76425,61741,58457,60640,53326,57896,52919,171546,174832,169282,133255,132261,149289,130988,130294,120220,131675,128598,124229,57104,63898,63365,64896,58012,56956,76650,53106,66901,52476,47232,53433,53136,52800,50363,52189,59220,60131,34713,35741,35144,15255,14434,19639
7 h 38 min,131273,131706,144449,130162,111587,113354,85317,91875,87979,77782,78924,76917,62445,58825,60297,53577,57695,53126,171123,175488,169532,132995,131886,149081,131579,131048,119851,131535,128944,124304,56716,64113,63502,64896,57837,57446,77043,53568,67149,52337,46834,53272,53462,52582,51061,51956,59585,60425,34643,35844,35048,15298,14558,19843
7 h 40 min,132277,132329,145057,130452,112445,113982,85795,92111,87983,77752,78783,77245,62158,58487,60301,53808,57750,53211,172157,175568,170109,133056,131677,149955,131470,129825,120292,131654,128495,124591,56527,63972,63755,65345,57587,56936,76905,53723,67134,52333,47626,54001,53494,53275,50498,51892,60101,59704,34495,35639,35200,15306,14649,19709
7 h 42 min,132099,132026,145297,130138,112839,114627,85646,92141,88331,77879,79836,77416,62615,58867,60119,53584,57866,52727,171830,175396,169957,133007,132207,149409,131366,130532,120126,131703,128512,124446,56897,64354,63433,65712,58197,57259,77486,53748,67427,52766,47241,53344,54099,53389,50955,52494,60519,60442,34741,36019,35110,15361,14375,19725
7 h 44 min,131804,132221,146044,131629,112836,114321,85588,92705,89037,78629,80082,77437,62118,59035,60529,53761,58048,52836,171502,176040,170573,134155,132126,149575,131546,130879,119725,132232,128181,125328,56870,64129,64225,65915,57743,57777,77280,53749,67030,52582,48063,54069,53580,53202,51381,52494,60362,60400,34373,35973,35388,15319,14408,19719
7 h 46 min,131626,132022,146656,132377,113052,114545,86173,92778,89117,78779,79706,77770,62403,58708,60732,53619,58056,53147,171970,175166,170994,133136,132000,149401,131647,131005,120763,131744,128487,124523,57050,64401,64049,65739,58343,57266,77904,53920,67649,52749,47663,54118,54022,53429,51349,52375,60213,60469,34372,35958,35420,15119,14313,19676
7 h 48 min,132949,131769,146931,132465,113863,114820,86079,93189,88812,78392,79769,77710,62904,58685,60861,54033,58334,53375,171450,176075,171367,133937,132388,149346,132338,130955,120302,132282,128115,124349,56908,64243,63497,66073,58342,57210,78279,53943,67493,52760,47254,53831,53988,53491,50804,52167,59937,60806,34618,35864,35137,15020,14446,19728
7 h 50 min,133278,133028,147189,132418,113981,115159,86081,93475,89148,78710,80071,78488,62552,58906,61284,53715,58099,53300,172623,175014,170525,133709,131853,149573,131819,131845,120802,132128,128124,124855,56505,64701,64045,65531,58173,57172,77574,53652,67301,52853,47287,53994,54244,53618,51434,52675,60496,61202,34528,36256,35134,15311,14676,19766
7 h 52 min,132418,133079,147496,133083,114679,116062,87110,93078,89229,78820,79789,78266,62773,58965,60578,54011,58464,53179,171761,174961,171696,133502,131440,149405,132321,131084,120298,131342,127986,124612,57136,64271,64625,65447,58034,58303,78726,53786,67570,52836,47779,54465,54270,53526,51351,52985,60706,60927,34260,35681,35486,15374,14450,19602
7 h 54 min,133534,132904,147367,133351,114192,115419,86650,93473,89882,79064,80025,78917,63217,59195,61014,53721,58549,53349,172508,175300,171021,133057,131891,149765,131954,131135,119944,131542,128241,124690,57289,64783,64436,66016,58289,57463,78538,54262,67816,53195,48249,53962,54366,53668,51104,52497,60675,61572,34951,35983,35163,15337,14324,19904
7 h 56 min,133138,132652,147279,133113,114262,116450,87123,94155,89216,79577,80936,78130,63316,59578,61290,54408,57946,53827,171598,175242,172214,132514,132360,149893,132109,131482,119758,131651,127754,124608,57012,64238,64425,65707,58392,58003,78901,54622,67741,53204,47696,54381,54423,53560,51551,52530,60673,61289,34832,35901,35038,15291,14356,19738
7 h 58 min,132844,133131,147951,133649,114809,116594,87553,94097,90377,78722,81131,78660,62882,58996,61094,54397,58391,53501,171752,175507,171993,133735,131402,149527,132257,131533,120665,131850,128575,125026,56803,64541,64277,65977,58522,58144,78627,53542,67879,53187,47710,54313,54251,53263,51246,53021,60873,61400,34581,36223,35032,15126,14288,19758
8 h ,133298,133351,148310,134196,114917,116829,87159,94382,90410,79084,80706,79033,63425,59197,61554,54877,58416,53632,171802,176235,172103,133690,131377,149937,132210,130994,120417,132562,128453,124048,56951,64831,64198,66095,58627,58123,78689,53955,67969,53492,47581,54786,54311,53651,51626,52836,61244,61613,34553,35975,34900,15264,14587,19998
8 h 2 min,133512,133359,149177,134274,115724,116896,87563,94327,90502,79154,80945,78986,63130,59517,61832,54436,59063,53639,172689,176102,172462,134078,131687,149764,132729,131277,120288,132049,127080,124212,57431,64477,64495,66311,58553,57930,78787,54020,68562,53397,48113,54713,54382,53837,51322,52861,61651,61350,34732,36106,35470,15109,14575,20123
8 h 4 min,133322,134226,148848,134973,115465,117544,87679,94336,90330,79546,80900,79223,63300,59306,61318,54964,58810,53626,171265,176628,172133,133568,131622,149370,132186,132385,120351,132438,128594,124603,57238,64993,64901,66332,58904,58222,78897,53865,67987,53273,47391,55128,54286,53939,51671,53177,60958,61919,34641,35891,35519,15383,14539,19881
8 h 6 min,133496,133055,149370,134726,115707,117346,88223,95088,90498,79736,81630,79090,63517,59462,61714,54546,58617,53887,172717,176090,172493,134081,131834,150106,133397,132099,120580,132187,128000,124263,57069,64725,64471,66552,59297,58199,78630,54485,67811,53251,48339,55191,54843,54385,51613,52926,60905,61978,34543,35931,35153,15362,14594,20011
8 h 8 min,133938,133792,149644,135425,116985,117249,87594,94666,90340,79460,81641,79650,63644,59477,61441,54806,58773,53883,172445,176534,172551,133978,132040,150106,132618,131857,120413,132465,128191,124113,57126,64908,64451,66006,58900,58535,79031,54067,67909,53244,48198,54746,54988,54008,52019,53239,61697,61899,34529,36069,35365,15398,14420,19853
8 h 10 min,133541,133850,149394,136302,116200,117940,87904,94889,90860,80083,82124,79423,63810,59937,61335,54729,58860,54149,172334,177417,172960,133661,131791,149728,132968,131907,120088,131279,127998,124512,57424,65080,64584,66724,58708,58459,79509,54120,67921,53817,48575,55205,54792,53745,51993,53583,61618,62166,34893,36242,35555,15244,14485,20018
8 h 12 min,134118,133615,150045,135756,116475,117778,87981,94547,91071,80017,82300,80458,64068,59483,62301,54969,59071,53887,172383,176208,173113,134874,131844,150441,132854,131562,120943,132211,128024,123884,57009,65003,64665,66654,59008,58379,79971,54911,68609,54147,48513,55464,55087,53920,51916,53233,61836,62365,34425,36231,35226,15246,14394,20012
8 h 14 min,134215,133999,150429,136728,116373,118300,88953,95076,91807,80223,82697,80913,64229,60141,61489,54964,59318,54130,172097,177156,173451,133732,131224,150366,132908,132247,120382,132564,128011,123715,57291,65082,64651,66367,59235,58758,79235,53937,68266,53681,48676,55496,55518,54572,52222,53512,62013,62356,34825,35848,35501,15209,14388,19743
8 h 16 min,134991,134388,150601,136756,117244,118150,88881,95923,91863,80535,82786,80294,63842,59928,62115,54679,59581,54651,171841,176531,173083,134202,131993,150496,132675,131736,120481,131817,127901,123884,57441,64811,64818,66655,59237,58182,80367,54228,68683,53782,48768,55749,55509,54278,51967,53289,62424,62613,34708,36028,35362,15406,14553,19725
8 h 18 min,134157,134196,150649,136643,117102,118004,89278,95936,92633,80036,82968,80331,64234,60256,62356,54793,59417,54115,171903,176614,173394,134246,131983,149835,132585,132212,120700,132290,127868,124218,57704,65108,65018,66840,59285,58491,80078,54588,68832,54107,48724,55854,55328,54431,51929,53102,62201,62632,34740,36111,35414,15414,14460,19661
8 h 20 min,135067,133865,151241,136869,117228,118730,88804,96255,92444,80613,82862,80908,64579,60230,62643,55322,59845,54877,172609,177074,173515,134668,131480,150522,133560,132054,120846,132551,127482,124395,57158,64820,64735,66735,59224,58882,80712,54580,68857,53870,48922,55956,55492,54495,52382,53343,62404,62625,34779,36138,35296,15320,14307,19766
8 h 22 min,135013,134156,151166,138142,117186,119141,89426,95967,92741,81306,83476,80666,64513,60336,62240,54944,59563,54147,172328,176655,173953,133978,131312,151000,133626,131511,120887,131886,127410,124061,57741,65257,64652,67072,59125,58886,80014,54557,69136,54048,48610,56085,55765,54870,52144,53210,62298,63532,34964,36010,35207,15475,14374,19905
8 h 24 min,135375,134585,151745,137822,118407,118846,89120,96045,92084,80563,83528,80926,64359,60082,62474,55158,59335,54500,171941,177924,174047,134150,131557,150184,133355,131819,120279,131686,127811,123669,57699,65208,64634,66954,59667,58286,80511,54204,68652,54688,48622,56140,55252,54594,51843,53373,62097,63147,34845,36084,35549,15294,14300,20017
8 h 26 min,135271,134737,151352,137699,118379,119109,89083,96517,92621,80632,83723,81387,65018,60464,62430,55415,59592,54586,172263,177124,173569,134087,132009,149480,133496,132580,120678,131809,127606,124111,57588,65253,65244,67654,59534,58765,80796,54545,68776,54658,48441,56513,55575,54424,52613,53602,62251,63450,34727,36075,35099,15389,14581,20023
8 h 28 min,135355,134087,151957,138024,118281,119323,89801,96966,93105,80871,83203,81118,64668,60176,62419,55425,59987,54765,171678,176864,174736,134334,131301,150106,133385,132066,120507,132040,127032,123503,57458,65007,64896,66639,59789,59112,80365,54406,68928,54290,48721,56194,55711,54330,52553,53748,62218,63272,35026,36345,35153,15511,14418,20034
8 h 30 min,134986,134958,151890,138918,118100,119215,89337,96561,93477,81086,84185,81252,64100,60286,62875,55553,60040,54852,172097,177433,174133,133804,131671,150092,133176,132126,120412,131817,127793,123586,57540,65432,65572,67903,59936,58822,80975,54639,69276,53833,48820,56074,55905,54858,52314,53462,62335,63666,34938,36136,35539,15229,14419,19986
8 h 32 min,135677,135041,151670,138413,118193,119791,90137,96326,93241,81414,83669,81888,65213,60531,62740,55210,59829,54437,171162,177483,174037,133334,132023,149355,133857,132157,120437,131976,127282,123508,57307,65116,65188,66891,59737,59033,81641,54294,69287,54552,49263,56267,55810,55091,52382,54031,62540,63567,34943,35902,35504,15249,14367,19771
8 h 34 min,135242,134773,152818,139299,118721,120084,90084,96736,93846,80945,84136,81673,64409,60996,62633,55348,59588,54904,172030,177654,174684,134045,131794,150685,132669,132402,120193,131622,127431,123461,57405,65383,64749,66986,59678,59181,81000,54453,68991,54272,48667,56630,56002,54854,52324,53789,62795,63588,34763,36390,35689,15453,14206,19956
8 h 36 min,135417,135413,152889,139457,119203,119936,89804,97141,92512,80860,84552,81658,64888,60080,62833,55116,59350,55107,172165,177783,174926,134202,131365,149590,132886,131883,120627,131282,127029,123237,57277,65383,65515,67097,59932,59043,80688,54653,69200,54338,48995,56238,56042,54495,52389,53745,62779,63780,34779,36392,35508,15365,14293,19843
8 h 38 min,135628,134917,152268,139850,119669,119794,89965,97409,93042,80723,83672,82247,64729,60345,62649,55339,59509,54812,171944,178119,175841,133951,131569,149764,133203,132769,120862,131978,126960,123205,57250,65344,65192,66899,59870,59414,80805,54335,68610,54188,48852,56505,55985,54973,52916,54165,62939,63844,34662,36069,35307,15546,14163,19863
8 h 40 min,136060,135833,153032,139672,118641,120358,90104,97073,93373,81018,84392,81667,64850,60415,62466,55243,59835,54920,172000,178447,174417,133856,132032,150419,133188,132850,120825,131647,127713,123016,57877,64833,65503,67388,60071,58925,81171,54546,69167,54542,49333,57085,56369,54818,52450,53734,63228,64090,34712,36399,35226,15254,14349,19731
8 h 42 min,135939,136010,153264,139587,120270,120015,90592,97408,93861,81329,84389,82704,64856,60837,62852,55464,59823,54854,172560,177419,174766,133101,131578,150568,133185,131809,120573,132063,127068,123114,57514,65362,65092,67041,59820,59216,81006,54416,69405,54145,49036,56874,56319,54565,52860,53800,63068,64457,34968,36205,34941,15182,14086,19691
8 h 44 min,136672,135697,152957,140316,119620,120569,90151,98153,94254,81692,84883,82315,65011,60936,62657,55496,59938,55085,172311,177883,175425,133910,131185,150587,132680,132270,120404,131767,126962,122949,57812,64844,65099,67302,60136,59146,81281,54284,69700,54393,48976,56933,56640,54572,52462,54271,63332,63923,35026,35998,35306,15435,14129,19794
8 h 46 min,136269,136029,153138,140985,120328,120083,90169,97469,94086,81570,84488,82422,65184,60929,62845,55048,59448,54891,172264,177311,175046,134519,131688,149285,133266,132361,120496,130959,127087,122454,57394,65370,65605,67289,59952,59358,81623,54345,68980,54371,49325,56800,56463,54900,52781,54161,63374,64464,35012,36076,35261,15285,14408,19777
8 h 48 min,135604,136356,153299,140956,120107,120499,90898,98048,94687,81451,84627,82405,64936,60582,62930,55634,59659,54791,172207,177722,175034,133476,131653,149774,133544,132657,120202,132146,127009,122003,57801,65099,65453,67363,60037,59494,81224,54609,69024,54629,49177,57168,56203,54934,52631,53815,63197,64319,34944,36175,35267,15323,14553,19656
8 h 50 min,135907,135881,153936,141277,120472,120516,90787,98006,94772,81999,84673,82895,65210,60777,63158,55612,59873,54920,172770,178192,175488,133456,131845,149461,133305,132851,120110,131877,126600,122792,57444,65365,65403,67730,59676,59260,81691,54593,69280,54582,49118,57029,56222,55028,52945,54018,63333,64578,34858,36289,35289,15289,14014,19781
8 h 52 min,135867,136154,153689,141939,120534,120393,91032,98048,94367,81911,85225,82846,65828,61042,63470,55549,60035,55308,171833,177725,175447,133944,131765,149546,133560,132385,120484,131429,126246,122462,57969,65589,65413,67537,60077,59238,82520,54789,69257,54869,49455,57509,56752,54668,52952,54219,63242,64764,35297,36398,35012,15344,14283,19844
8 h 54 min,136530,136082,154602,141429,120481,120880,91255,98393,94753,82305,85099,83410,65738,60803,63586,55340,60020,54879,172939,177919,175682,134422,131704,150192,133369,132581,120560,131663,126924,122007,57606,65159,65524,67891,60322,59519,81856,54576,69487,54552,49453,57106,56332,54760,52608,53995,63609,64978,34852,36251,34945,15510,14051,19943
8 h 56 min,137476,136000,154602,141768,120572,121425,91222,98389,94506,82538,85687,83132,65565,60835,63483,55398,59731,55152,171820,177721,176132,134001,131861,149883,133146,132477,120648,131415,126288,123075,57277,65697,66015,67866,60197,59921,81766,54652,69160,54758,49536,57462,56684,55030,53347,54241,63773,64626,35152,36331,34811,15263,13940,19891
8 h 58 min,136581,136256,154777,141882,120789,121226,91368,98588,94796,82118,84679,82830,66014,60554,63136,55716,59706,55006,172434,178056,175816,133284,131611,149413,132881,131944,120733,131789,126401,122579,57486,65403,66239,67663,59785,59795,81817,54892,69456,54809,49463,57333,56978,54870,52877,54423,64039,65150,35038,36440,35393,15328,14194,19732
9 h ,136333,136854,154707,142462,120874,122296,91184,98054,94816,81848,85222,83417,64896,60589,63102,55480,60063,54759,171648,178833,176694,133284,132345,149462,133165,132925,120239,131924,126968,121999,57434,65394,65718,67881,60314,59576,82172,55043,69032,54376,49158,57406,56514,54786,52435,54381,64074,64732,34976,36097,35130,15257,14061,19683
9 h 2 min,136289,136661,154970,142601,121859,122160,91686,98945,95272,82040,85934,82979,65665,61041,63185,55303,59911,55263,171224,178169,176014,134096,131795,149415,133001,132473,120767,131553,125990,122269,57856,65568,65739,68094,60033,59791,81599,54563,69653,54940,49464,57903,57104,54567,53288,54235,64383,64742,34854,35925,35141,15454,14267,19580
9 h 4 min,136376,137318,154951,142690,122134,122317,92006,99109,95061,82705,85562,83840,66254,60913,63711,55820,59824,55283,172118,178546,176029,133762,131266,149626,133259,132793,120756,131498,127200,122506,57252,65494,65719,67633,60377,59760,82639,54834,70138,55245,49755,57464,56816,54957,52937,54548,63895,65021,35487,36184,35003,15331,14131,19786
9 h 6 min,137476,136726,155699,143009,121560,122227,91958,99705,95838,82554,85655,83687,65257,60883,63449,55642,59827,55350,171610,178793,176201,133543,131715,149405,133424,132662,120447,131265,126023,122035,57315,65741,65508,67692,60891,60085,82998,54550,69525,54831,49623,58107,57093,55032,52831,54169,64348,65225,35085,36062,34764,15252,14332,19593
9 h 8 min,137155,137239,155579,142858,121768,121831,91846,99490,95528,82593,85935,84491,65791,61183,63483,55630,60220,54606,171728,178774,176743,133772,131955,150026,133405,132451,121128,131588,126190,122427,57469,65925,65966,67790,60405,59963,82604,54699,69484,54604,49650,57940,56970,55377,53225,54393,64240,65139,35300,36015,34912,15359,14083,19982
9 h 10 min,137702,137323,156649,142700,121724,121855,91663,98794,95560,81925,85645,83546,65892,61143,63433,55629,59936,55458,172117,178642,175526,134091,131888,149640,133299,133221,120077,131628,126421,121952,57750,65354,65970,68009,60347,59994,82883,54450,69276,55041,49799,57907,57067,55144,53205,54493,64487,65637,35368,36160,35012,15306,14144,19849
9 h 12 min,137313,137130,155976,143601,121936,122613,92143,99606,95873,82257,86043,84200,66058,61548,64347,56155,60180,56005,171267,178133,176286,133682,131931,149789,133343,133165,121076,131465,126235,121991,57481,65805,65515,68634,60424,60202,82854,55132,69253,54468,49572,57889,56915,55300,53078,54429,64233,65833,35545,36175,34671,15335,14171,19641
9 h 14 min,137805,137619,155842,143672,122315,122572,92162,99740,95739,83020,85421,84172,66203,61752,63621,55763,60556,55778,171803,178466,175370,133524,131203,149442,133120,132418,120127,131405,125837,121357,57361,65264,65889,68421,60134,59925,83373,54420,69480,54667,49756,57623,57192,55117,53252,54492,64839,65130,35256,36503,34738,15332,14274,19580
9 h 16 min,137456,137740,156758,143679,122546,123244,92393,99799,96159,82919,87048,83898,66400,61433,63546,55790,60420,55790,171587,178909,176276,133177,131744,148767,133353,132581,120194,131413,126740,122302,57557,66051,66013,67962,60486,59926,83121,54537,69583,55286,49630,58045,57362,54826,53609,54693,65082,65307,35261,36379,34810,15181,14234,19700
9 h 18 min,137943,137591,156452,144276,122774,123299,92493,99724,96583,82856,86313,84216,66324,61193,63868,55673,60333,55317,171964,178317,176155,133246,131492,150145,132632,132824,120468,132038,125949,121522,57582,65609,65827,68091,60846,60073,82976,54613,69577,55082,49742,58117,57126,55010,53083,54079,64616,65499,35330,35955,34853,15179,14195,19626
9 h 20 min,138235,137120,157158,144014,123099,122916,92972,99665,96963,82658,86930,84480,65983,61432,63697,56087,60448,55350,171104,178236,175837,133195,131765,149398,133373,132245,120429,131161,126818,121715,57955,65621,66035,68297,60661,60129,83576,54641,69708,55154,49799,58389,57019,55369,53099,54228,64866,65815,34852,36316,34576,15038,14119,19464
