time,sfGFP + St6Tr3 15 nM,sfGFP + St6Tr3 15 nM,sfGFP + St6Tr3 15 nM,sfGFP + St6Tr3 15 nM,Se6To3,Se6To3,Se6To3,Se6To3,Se6To3+ St6 5 nM + Tr3 5 nM,Se6To3+ St6 5 nM + Tr3 5 nM,Se6To3+ St6 5 nM + Tr3 5 nM,Se6To3+ St6 5 nM + Tr3 5 nM,Se6To3+ St6 7 nM + Tr3 7 nM,Se6To3+ St6 7 nM + Tr3 7 nM,Se6To3+ St6 7 nM + Tr3 7 nM,Se6To3+ St6 7 nM + Tr3 7 nM,Se6To3+ St6 10 nM + Tr3 10 nM,Se6To3+ St6 10 nM + Tr3 10 nM,Se6To3+ St6 10 nM + Tr3 10 nM,Se6To3+ St6 10 nM + Tr3 10 nM,Se6To3+ St6 15 nM + Tr3 15 nM,Se6To3+ St6 15 nM + Tr3 15 nM,Se6To3+ St6 15 nM + Tr3 15 nM,Se6To3+ St6 15 nM + Tr3 15 nM,Se6To3+ St6 15 nM + Tr3 5 nM,Se6To3+ St6 15 nM + Tr3 5 nM,Se6To3+ St6 15 nM + Tr3 5 nM,Se6To3+ St6 15 nM + Tr3 5 nM,Se6To3+ St6 15 nM + Tr3 7 nM,Se6To3+ St6 15 nM + Tr3 7 nM,Se6To3+ St6 15 nM + Tr3 7 nM,Se6To3+ St6 15 nM + Tr3 7 nM,Se6To3+ St6 15 nM + Tr3 10 nM,Se6To3+ St6 15 nM + Tr3 10 nM,Se6To3+ St6 15 nM + Tr3 10 nM,Se6To3+ St6 15 nM + Tr3 10 nM
0 h 50 min,10702.5,8775.5,10409.5,9262.5,-1168.5,-1197.5,-1549.5,-1617.5,-907.25,-897.25,-1278.25,-1159.25,-1273.5,-1301.5,-1807.5,-1607.5,-1062.5,-1536.5,-1263.5,-1350.5,-409.5,-1062.5,-907.5,-977.5,-1199.75,-912.75,-1398.75,-1402.75,-1422.25,-909.25,-390.25,-1045.25,-1032.75,-942.75,-1086.75,-604.75
0 h 52 min,11674.5,10226.5,11041.5,10483.5,-1051.5,-1212.5,-969.5,-886.5,-1122.25,-673.25,-981.25,-939.25,-1180.5,-1154.5,-1698.5,-1326.5,-916.5,-1352.5,-1711.5,-987.5,-167.5,-1075.5,-762.5,-585.5,-969.75,-1144.75,-1445.75,-1327.75,-1100.25,-1443.25,705.75,-1137.25,-1292.75,-765.75,-1138.75,-860.75
0 h 54 min,12801.5,11620.5,12453.5,11360.5,-1224.5,-730.5,-1012.5,-869.5,-866.25,-723.25,-1537.25,-1316.25,-1572.5,-1665.5,-1582.5,-909.5,-955.5,-927.5,-1375.5,-1050.5,240.5,-1136.5,-1014.5,-889.5,-976.75,-783.75,-976.75,-791.75,-710.25,-1219.25,240.75,-1067.25,-1021.75,-893.75,-942.75,-365.75
0 h 57 min,15146.5,12948.5,13827.5,12750.5,-1138.5,-862.5,-1232.5,-1096.5,-882.25,-1204.25,-1283.25,-748.25,-1255.5,-1268.5,-1517.5,-1329.5,-750.5,-711.5,-1067.5,-744.5,-26.5,-591.5,-739.5,-870.5,-538.75,-692.75,-1432.75,-1143.75,-640.25,-874.25,590.75,-1085.25,-912.75,-686.75,-861.75,-265.75
0 h 59 min,16479.5,14090.5,15090.5,13917.5,-711.5,-1109.5,-927.5,-854.5,-929.25,-726.25,-1006.25,-1174.25,-1249.5,-1358.5,-1313.5,-1041.5,-1033.5,-857.5,-1470.5,-641.5,199.5,-417.5,-683.5,-694.5,-479.75,-729.75,-1034.75,-1025.75,-10.25,-857.25,176.75,-738.25,-828.75,-863.75,-1034.75,-311.75
1 h 2 min,18297.5,16009.5,16813.5,15237.5,-785.5,-1158.5,-1053.5,-982.5,-566.25,-1027.25,-1199.25,-917.25,-925.5,-1129.5,-993.5,-882.5,-1001.5,-1007.5,-962.5,-677.5,628.5,-308.5,-546.5,-227.5,-619.75,-613.75,-1425.75,-756.75,-51.25,-1002.25,386.75,-325.25,-875.75,-297.75,-1093.75,-145.75
1 h 4 min,20060.5,17796.5,18303.5,16911.5,-860.5,-966.5,-608.5,-661.5,-523.25,-999.25,-866.25,-918.25,-933.5,-833.5,-1189.5,-686.5,-412.5,-869.5,-774.5,-419.5,606.5,-359.5,-541.5,-1032.5,-728.75,-516.75,-1123.75,-880.75,-462.25,-830.25,398.75,-650.25,-918.75,-276.75,-500.75,206.25
1 h 6 min,22061.5,19372.5,19650.5,17957.5,-832.5,-801.5,-958.5,-1075.5,-894.25,-570.25,-833.25,-635.25,-868.5,-381.5,-913.5,-707.5,-409.5,-909.5,-333.5,-271.5,793.5,-413.5,-462.5,-39.5,-393.75,-637.75,-748.75,-783.75,-59.25,-726.25,1120.75,-583.25,-653.75,-269.75,-429.75,-132.75
1 h 9 min,23538.5,21295.5,20929.5,19827.5,-750.5,-431.5,-572.5,-565.5,-818.25,-904.25,-1074.25,-412.25,-927.5,-623.5,-943.5,-679.5,-165.5,-592.5,-618.5,-237.5,1242.5,-49.5,-433.5,-283.5,-395.75,-783.75,-1019.75,-1142.75,-181.25,-523.25,617.75,-616.25,-383.75,-403.75,-487.75,638.25
1 h 11 min,25391.5,23281.5,23111.5,21148.5,-755.5,-497.5,-947.5,-771.5,-408.25,-700.25,-916.25,-403.25,-735.5,-683.5,-945.5,-636.5,-91.5,-300.5,-617.5,-225.5,898.5,427.5,16.5,32.5,-8.75,-846.75,-793.75,-759.75,-212.25,-739.25,621.75,26.75,17.25,11.25,-714.75,551.25
