time,To1 3 nM + Se1Tr1 15 nM + St1 15 nM,To1 3 nM + Se1Tr1 15 nM + St1 15 nM,To1 3 nM + Se1Tr1 15 nM + St1 15 nM,To1 3 nM + Se1Tr1 15 nM + St1 10 nM,To1 3 nM + Se1Tr1 15 nM + St1 10 nM,To1 3 nM + Se1Tr1 15 nM + St1 10 nM,To1 3 nM + Se1Tr1 15 nM + St1 5 nM,To1 3 nM + Se1Tr1 15 nM + St1 5 nM,To1 3 nM + Se1Tr1 15 nM + St1 5 nM,To1 3 nM + Se1Tr1 10 nM + St1 15 nM,To1 3 nM + Se1Tr1 10 nM + St1 15 nM,To1 3 nM + Se1Tr1 10 nM + St1 15 nM,To1 3 nM + Se1Tr1 10 nM + St1 10 nM,To1 3 nM + Se1Tr1 10 nM + St1 10 nM,To1 3 nM + Se1Tr1 10 nM + St1 10 nM,To1 3 nM + Se1Tr1 10 nM + St1 5 nM,To1 3 nM + Se1Tr1 10 nM + St1 5 nM,To1 3 nM + Se1Tr1 10 nM + St1 5 nM,To1 3 nM + Se1Tr1 5 nM + St1 15 nM,To1 3 nM + Se1Tr1 5 nM + St1 15 nM,To1 3 nM + Se1Tr1 5 nM + St1 15 nM,To1 3 nM + Se1Tr1 5 nM + St1 10 nM,To1 3 nM + Se1Tr1 5 nM + St1 10 nM,To1 3 nM + Se1Tr1 5 nM + St1 10 nM,To1 3 nM + Se1Tr1 5 nM + St1 5 nM,To1 3 nM + Se1Tr1 5 nM + St1 5 nM,To1 3 nM + Se1Tr1 5 nM + St1 5 nM,To1 3 nM + Se1Tr1 15 nM,To1 3 nM + Se1Tr1 15 nM,To1 3 nM + Se1Tr1 15 nM,To1 3 nM + Se1Tr1 10 nM,To1 3 nM + Se1Tr1 10 nM,To1 3 nM + Se1Tr1 10 nM,To1 3 nM + Se1Tr1 5 nM,To1 3 nM + Se1Tr1 5 nM,To1 3 nM + Se1Tr1 5 nM,To1 3 nM,To1 3 nM,To1 3 nM,sfGFP 3 nM,sfGFP 3 nM,sfGFP 3 nM,Control,Control,Control
4 h 10 min,977946,834607,916494,845209,691764,741225,380046,388956,381503,833287,961569,895180,836257,795266,838719,438830,470677,413391,1264019,1218600,1078740,912382,868008,835460,364438,383799,376017,75011,79547,68275,62733,73716,66328,73944,76797,62985,25444,23346,23146,26120,26292,26959,25640,28187,23810
4 h 20 min,1013891,867307,956014,875612,713449,763914,386371,400507,393260,844549,967537,905259,848564,817611,890257,458453,486587,430236,1316382,1255342,1115152,914239,889143,856774,369801,386577,384542,77365,82238,70190,64708,75483,68402,75213,78787,63420,25830,23943,22924,26465,26505,27170,25407,28197,24273
4 h 30 min,1024369,875777,966602,885087,722552,772756,391362,405100,398747,850847,980614,919766,855605,849610,913771,466112,495099,435310,1347047,1272214,1130044,918900,902729,870387,374449,390716,390854,78281,83704,71397,66025,76827,69532,76757,79945,64530,25692,24356,23044,26634,26372,26948,25173,28276,24410
4 h 40 min,1010412,864846,949166,878610,709241,771821,393260,402239,391857,858988,994269,926147,861174,892705,904269,463101,492060,431955,1349164,1270179,1135173,929887,913386,887493,378148,395226,394759,77023,82302,69174,64579,75512,67786,76691,79828,64781,25190,23272,22370,26215,26646,26976,25601,28353,23891
4 h 50 min,1044005,891385,981838,900694,731393,790495,399627,410916,404715,859318,1001831,937601,868462,907019,945728,475476,504711,444675,1386553,1294010,1162194,926697,924084,893516,382191,395845,399063,79413,85023,71777,66328,77295,70353,78068,80870,65838,25479,24378,23149,26161,26175,26992,25687,27956,24363
5 h ,1047966,895345,981123,908106,731930,796916,399984,412236,403876,865313,1005943,942373,870868,935965,949564,478268,509785,448153,1398887,1301696,1176990,931262,933724,902358,383965,398857,402611,79838,84638,72614,67142,77751,70927,78513,81321,65839,25668,24071,23170,26271,26374,26732,25225,28136,24095
5 h 10 min,1054153,899869,989084,912905,735698,800423,401923,413323,405636,870318,1016902,949413,874884,957788,959341,482228,512095,449749,1407372,1303154,1184415,932335,938839,911970,386123,401002,402377,80389,86330,73161,67534,77427,71428,79021,81760,66295,25842,24627,23253,26284,26014,27017,25515,27828,24405
5 h 20 min,1053191,903582,991642,912547,739534,799831,403229,414849,409569,872271,1016627,952590,879738,984615,965474,484566,516151,453695,1424409,1311638,1189146,933669,946801,915682,388612,402789,406021,81138,86728,73113,67742,77484,71890,79831,83084,66710,25873,24657,23445,26349,26511,26893,25304,28276,23991
5 h 30 min,1058237,905067,996372,919835,737540,808398,405388,416403,409335,874842,1023448,953428,883423,1004678,972350,485858,517155,455840,1425041,1313990,1202126,932238,948079,919230,387086,404481,410229,81175,86855,73669,67994,78212,71811,79874,83023,66547,25898,24687,23401,26572,26426,26860,25399,27956,24296
5 h 40 min,1060190,912272,999288,921004,739644,811148,406048,417365,410339,873605,1026528,955340,883519,1026005,976764,487797,518544,456060,1429730,1316272,1195705,934590,953841,922173,389589,406213,409981,81797,87654,73851,68703,77427,71268,79890,83105,66748,26711,24900,23413,26232,26155,26986,25297,28456,24312
5 h 50 min,1061854,912657,1004100,921788,740222,812125,406378,417957,412621,875984,1030048,958901,887424,1045243,982800,487990,518957,456583,1429662,1317262,1192735,934397,954377,925060,392036,406158,411356,81736,87354,73908,67865,76326,70533,80972,83544,67079,26386,25013,23212,26550,26349,27217,25161,28532,24510
