time,To3 3 nM + Se6Tr3P 5 nM + St6 15 nM,To3 3 nM + Se6Tr3P 5 nM + St6 15 nM,To3 3 nM + Se6Tr3P 5 nM + St6 15 nM,To3 3 nM + Se6Tr3P 5 nM + St6 10 nM,To3 3 nM + Se6Tr3P 5 nM + St6 10 nM,To3 3 nM + Se6Tr3P 5 nM + St6 10 nM,To3 3 nM + Se6Tr3P 5 nM + St6 5 nM,To3 3 nM + Se6Tr3P 5 nM + St6 5 nM,To3 3 nM + Se6Tr3P 5 nM + St6 5 nM,To3 3 nM + Se6Tr3P 5 nM + St6 3 nM,To3 3 nM + Se6Tr3P 5 nM + St6 3 nM,To3 3 nM + Se6Tr3P 5 nM + St6 3 nM,To3 3 nM + Se6Tr3P 5 nM + St6 0 nM,To3 3 nM + Se6Tr3P 5 nM + St6 0 nM,To3 3 nM + Se6Tr3P 5 nM + St6 0 nM,To3 3 nM + Se6Tr3P 0 nM + St6 0 nM,To3 3 nM + Se6Tr3P 0 nM + St6 0 nM,To3 3 nM + Se6Tr3P 0 nM + St6 0 nM,Negative,Negative,Negative
3 h 24 min,76858,88754,96646,83953,80003,83485,61468,60555,67824,51892,50007,54431,46590,44376,45735,46446,42319,50603,17337,17963,17570
3 h 26 min,78769,90354,97827,85219,81843,84716,61768,61148,68782,51957,50389,55141,46778,44417,46014,46623,42397,51144,17208,18263,17637
3 h 28 min,79287,91565,98793,85741,82343,85353,62873,61954,70376,52816,50880,55755,47094,44825,46188,47108,42798,51891,17202,18342,17343
3 h 30 min,79757,91958,100190,86429,83361,86823,63523,62814,71006,53405,51170,56136,47313,45586,46945,47351,43073,51802,17548,18328,17747
3 h 32 min,80657,92767,101457,88070,84473,88034,64075,62985,71398,53789,51625,56681,48303,45849,47214,47443,42947,52550,17783,18292,17612
3 h 34 min,81239,94196,102499,89855,85721,88480,64965,64265,72477,54203,52220,57519,48476,46499,47799,48201,43292,52738,17385,18381,17489
3 h 36 min,82723,94988,103537,90360,86636,89918,65688,64104,73508,54947,53031,58175,48600,46257,48009,48421,43415,52471,17489,18077,17591
3 h 38 min,83327,96106,104874,91029,88032,90523,66218,65436,74407,55156,53400,58644,49532,46774,48451,48767,43326,52999,17609,18336,17706
3 h 40 min,83618,96990,105871,91971,89499,91596,67163,66584,74796,56046,54477,58924,49899,47486,48508,49437,43500,53727,17352,18623,17777
3 h 42 min,84115,98301,106760,93624,89766,92550,67817,66698,75761,56451,54588,59689,50183,47456,49323,49686,43906,54146,17455,18420,17815
3 h 44 min,85318,100073,108237,94810,91635,94409,68489,67866,76026,56974,54949,60741,50388,47742,49683,50348,43686,54160,17716,18489,17798
3 h 46 min,86797,99113,108576,95744,91882,94492,68947,69003,77870,57446,55371,60817,50903,48261,49789,50620,43830,54213,17501,18881,17656
3 h 48 min,87249,101673,109721,97337,92967,95890,69885,69298,78358,57912,55984,61261,50822,49159,49958,50625,44228,54522,17517,18618,17660
3 h 50 min,87341,102626,110838,98060,94105,96487,70666,69790,79183,58720,56653,62079,51561,49417,50028,51606,44457,54854,17749,18901,18084
3 h 52 min,88956,103453,111993,98974,95000,98215,71510,70897,80835,59129,57614,62655,51824,49399,50934,52199,44176,55672,17658,18863,17755
3 h 54 min,90232,103598,112841,100398,96611,98293,72698,71585,81539,59924,58000,62894,52785,49949,51399,52294,44288,55603,17697,19094,17919
3 h 56 min,90581,104441,113640,101061,97041,100056,72915,72439,81505,60749,58224,63506,52937,50074,51891,52675,44556,55227,17868,18958,17763
3 h 58 min,90556,105413,115108,102855,98245,101068,73789,73286,82689,60830,58965,64294,53192,50768,52341,52837,44658,56016,17663,19079,17943
4 h ,92001,107216,116629,103763,100220,102006,73889,73591,83931,61637,59432,64727,53987,51514,52456,53393,45054,56008,17990,18932,17850
4 h 2 min,92565,108661,117959,105745,101554,103074,75592,74423,84340,62194,60231,65386,54000,51695,53325,53945,45315,55976,17991,19226,17949
4 h 4 min,93104,108795,118881,106513,101596,103977,76251,75233,85435,62287,60590,65738,54596,51717,53235,54335,44990,55808,17638,19094,17875
4 h 6 min,93820,110139,120464,107964,103229,105554,76669,76100,86682,62949,61027,66581,55235,51874,54075,54639,44729,56486,17582,19095,18011
4 h 8 min,94730,110845,121237,108928,104632,106235,78002,77221,87192,63076,61507,66832,55553,52315,54587,54779,44987,56628,17866,19098,18019
4 h 10 min,95722,112499,122203,109715,105922,107526,78538,77870,87908,64125,61670,67784,55275,53108,54916,55238,45181,56831,17718,19162,17999
4 h 12 min,96260,113728,123175,110820,107497,108034,79628,79151,89425,64448,62481,67914,56160,53580,54983,55634,45379,57046,18048,19363,18165
4 h 14 min,96835,114669,125214,113283,107954,108682,79930,79666,90219,65351,62846,68575,56747,53652,55235,56072,45367,56898,17912,19367,18188
4 h 16 min,97735,115340,126114,114328,110368,109752,80923,80727,91805,65738,63964,69168,56925,54155,55714,56602,45468,57566,18211,19398,18043
4 h 18 min,98359,116570,126637,115248,110845,111410,81634,81101,91775,66179,64461,69600,57515,54249,56250,57231,45440,57794,18352,19419,17976
4 h 20 min,98914,117914,128139,116534,111616,111331,81700,82103,92063,66416,64784,70947,57857,55026,57038,57071,45198,57102,18218,19354,18244
4 h 22 min,99979,118007,129144,118431,113904,113221,83110,83076,94031,67587,65618,71178,58766,55367,56725,57740,45065,57578,18422,19560,18405
4 h 24 min,100914,119279,130809,119161,115715,113856,83613,83876,93800,67986,65991,71579,58627,55199,57689,57602,45550,57976,18320,19656,18193
4 h 26 min,101242,120999,131597,120907,116777,114732,84700,84068,95020,68849,67099,72624,58852,56187,57669,58043,45501,58086,18204,19868,18164
4 h 28 min,102085,121414,132682,121829,117421,115955,85712,85472,95403,69129,67427,72862,58835,56335,58203,58700,45551,58010,18406,19586,18030
4 h 30 min,102788,122982,134781,123077,118961,117145,86047,86146,96292,69809,67866,73649,59472,56693,58808,59241,45889,57996,18439,19920,18495
4 h 32 min,103555,123745,135508,124404,120512,117678,87060,86923,97386,69935,68259,73941,60195,57199,59104,59669,45964,58142,18228,19692,18485
4 h 34 min,104906,124998,137267,125683,121571,118634,87638,88245,98058,71070,68486,75143,60656,56822,59308,59989,45767,58264,18475,19891,18172
4 h 36 min,105541,125598,138036,127567,122984,119134,88369,87807,99887,71747,69511,75388,60997,57909,59777,60369,45687,58022,18599,19584,18528
4 h 38 min,106166,127021,139191,128921,124097,120001,89052,88976,100505,71924,69978,76005,61792,57828,60225,60796,46037,58300,18451,19904,18166
4 h 40 min,106846,128782,140262,129296,125917,121696,89778,89675,100840,72318,70626,76394,61769,58283,60439,61000,45858,58252,18885,19729,18364
