time,Negative,Negative,Negative,STAR6 15 nM,STAR6 15 nM,STAR6 15 nM,STAR6 10 nM,STAR6 10 nM,STAR6 10 nM,STAR6 5 nM,STAR6 5 nM,STAR6 5 nM,STAR6 3 nM,STAR6 3 nM,STAR6 3 nM,STAR1 15 nM,STAR1 15 nM,STAR1 15 nM,STAR1 10 nM,STAR1 10 nM,STAR1 10 nM,STAR1 5 nM,STAR1 5 nM,STAR1 5 nM,STAR1 3 nM,STAR1 3 nM,STAR1 3 nM,Without STAR6,Without STAR6,Without STAR6
8 h 42 min,21290,25093,24042,57190,54149,56334,48075,48692,46852,31159,32883,33844,26990,27908,30123,35976,38128,36620,36238,37203,36544,40567,35785,38041,45133,42695,43948,27947,28961,26192
8 h 44 min,21117,25036,23569,57327,54348,56134,48581,48630,46995,31120,32927,34621,26668,27710,30211,35952,37927,36765,36167,36753,36044,40434,35552,37865,45217,42758,44484,27835,29130,26404
8 h 46 min,21132,24880,23786,57113,53717,55965,48448,48738,47397,30990,32886,34128,26656,27987,30355,36256,37988,36339,35746,36846,36129,40083,35266,37674,45275,42589,44296,27863,29317,26360
8 h 48 min,21166,24998,23858,58037,53908,56481,48674,48380,47015,31144,32702,34270,26746,27920,29932,36140,37835,37006,35671,37047,36053,40045,35471,38038,45457,42655,44223,27799,29314,26327
8 h 50 min,21249,24549,23923,57898,53567,56308,48131,48764,47228,31047,32905,34240,26926,27690,29931,36151,37954,36361,35990,37031,35457,40296,35859,37609,45253,42348,44274,27547,29085,26225
8 h 52 min,21290,24673,23593,58113,53737,56137,48159,49325,47084,30892,33065,34271,26823,28076,30132,36154,38266,36758,35818,36875,35880,40441,35371,37658,45857,42637,44462,27585,29224,26209
8 h 54 min,21354,24664,23766,57995,53485,56411,48414,48961,47005,30837,32863,34222,26613,28076,30070,36101,37650,36746,35401,36870,35966,39944,35793,37959,45574,42756,44294,27871,29241,26081
8 h 56 min,20966,24583,23530,57768,54013,56411,48282,48709,47232,30848,32428,34018,26779,27886,30371,36120,38195,36502,35689,37141,35613,40263,35640,37725,45487,42834,44691,27873,29165,26109
8 h 58 min,21217,24567,23436,57715,53693,56905,48191,48686,47425,30613,32687,34230,26460,28214,30275,36329,37821,36879,35676,36956,35670,40058,35374,37438,45763,42446,44745,27798,29637,25961
9,20954,24443,23638,57760,53489,56576,48216,48977,47212,30464,32794,34063,26665,27945,30644,36242,38110,36559,35538,36577,35594,40453,35054,38202,45421,42855,44811,27821,29266,25914
9 h 2 min,21322,24741,23763,58135,53363,56377,48162,48912,47449,30629,32730,34363,26639,27898,30668,36373,38379,36736,35608,37013,35689,40550,35350,37988,45144,42620,44356,27753,29138,25578
9 h 4 min,20964,24380,23864,57735,53408,56524,47967,48864,47146,30556,32484,34313,26711,28361,30310,36574,37740,36736,35194,37067,35663,40472,35643,38100,45310,42369,44739,27871,29097,25950
9 h 6 min,21120,24473,23563,57125,53654,56687,48048,48685,47253,30413,32517,34191,26168,28208,30503,36199,38285,36918,35431,37126,35179,40245,35722,37848,45384,42498,44387,27948,29314,25637
9 h 8 min,21286,24163,23365,58416,53610,56979,48679,48860,47290,30231,32478,34167,26504,28135,30434,36432,38629,37479,35266,36981,35338,39979,35498,37875,45377,42913,44744,27669,29069,25622
9 h 10 min,21408,24449,23443,57737,53595,56896,48635,49239,47416,30432,32630,34012,26593,28318,30610,36541,38173,37127,34980,36486,35080,40352,35280,37591,45465,42277,44366,27959,29349,25711
9 h 12 min,21255,24538,23421,57910,53241,56826,48257,48588,47474,30223,32502,34352,26420,28159,30646,36539,38559,36946,34794,36808,35306,40138,35190,37797,45760,42340,45173,28008,29131,25377
9 h 14 min,21331,24017,23368,57588,53170,56779,48362,49055,47151,30523,32572,34173,26244,27903,30408,36619,38613,36765,35322,36861,35151,40469,35103,37698,45486,42498,44757,27852,29312,25393
9 h 16 min,21048,24012,23646,58097,53519,56913,48410,48419,47529,30443,32456,34219,26061,28388,30490,36120,38821,37256,35115,36551,35303,40165,35338,37605,45731,42004,44714,27610,29317,25306
9 h 18 min,21107,24212,23429,57659,53119,56853,48204,48699,47215,30332,31911,34012,26402,28034,30509,36692,38600,37207,35050,36733,34902,40471,35199,37550,45659,41773,44506,27686,29342,25466
9 h 20 min,21380,24064,23402,57692,53531,56992,48207,48752,47354,30362,32107,34339,26099,28276,30521,36892,38495,37434,34942,36666,34809,40191,34688,37656,45558,42022,44894,27894,29635,25422
9 h 22 min,21161,23821,23596,58025,53264,56559,48493,48977,47359,30099,31738,34305,26515,28328,30420,36488,38317,36925,34570,36397,34974,40259,35405,37324,45162,42145,44635,27570,28987,25471
9 h 24 min,21079,23843,23487,57875,53222,57135,48113,48579,47196,29891,31701,34099,26243,28019,30516,36756,38448,37536,35013,36650,34951,40150,34943,37654,45576,41926,44716,27696,29394,25335
9 h 26 min,21055,24018,23613,58284,53304,56425,48289,48631,47097,30339,32178,33940,26154,28276,30723,36703,38558,37448,34613,36315,34990,40454,35134,37719,45068,42168,44572,27814,28996,25227
9 h 28 min,21260,23342,23333,58039,53807,56760,48052,48582,47352,30093,31533,34492,26002,28218,30728,37098,38593,37114,34984,36366,34934,40436,35262,37821,45580,42252,44517,27831,29246,24996
9 h 30 min,21209,23719,23382,58025,53164,56586,47812,48299,47087,29994,31738,33717,26062,28112,30711,37084,38728,37411,34751,36388,34592,40020,34934,37402,45639,41995,44960,27922,29261,25229
9 h 32 min,21340,23693,23585,57913,53041,56599,47942,48885,47264,29789,31695,33953,26234,27632,30778,36730,38933,37749,34569,36101,34603,40225,34929,37396,45149,41868,44743,27523,29286,24911
9 h 34 min,21099,23656,23208,58274,53992,56418,48076,48523,47331,30239,31845,33944,26234,28007,30988,36826,38379,36813,34582,36328,34907,40189,35441,37321,45085,41837,44706,27652,28981,24931
9 h 36 min,20898,23694,23263,58017,53138,56640,48413,48445,46894,29905,32007,33911,26250,28312,30888,36582,38994,37484,34809,36589,34424,39727,35005,37691,45155,41580,44807,27902,29204,25128
9 h 38 min,20971,23424,23544,57774,53151,56602,47576,48330,46730,30021,31505,33781,26661,28268,31217,37094,38689,37290,34815,36682,34883,40150,35005,37416,45256,41768,44877,27579,29456,24944
9 h 40 min,21214,23547,23297,57653,53123,56763,48009,48469,47254,30151,31238,33921,26154,28303,31243,37065,38715,37344,34605,36446,34526,40406,34782,36976,44822,41745,44814,27430,29224,24527
9 h 42 min,21293,23432,23488,58154,52809,56364,47891,48574,47262,29715,31549,33788,26216,28290,31272,37159,38862,37437,34848,35929,34580,40024,34644,37271,44718,41520,44529,27407,29290,24677
9 h 44 min,21187,23190,23121,57835,53617,56675,47854,48462,46928,29856,31494,33520,26164,28091,30904,36942,38893,37333,34528,36004,34444,40023,34856,37433,44494,41731,44608,27670,29469,24631
9 h 46 min,21377,23251,23313,57508,53840,56260,47620,47802,46847,29836,31289,33887,26291,28135,30706,37103,38550,37773,34397,36366,34278,39879,34721,36848,44449,41564,44402,27623,29248,24780
9 h 48 min,21383,23216,23449,57709,53266,56674,47841,48195,46905,29875,31203,33842,26415,28013,30789,36808,38950,37414,34699,36139,34277,39878,34469,36823,44356,41601,44520,27678,29468,24576
9 h 50 min,21194,23366,23441,58173,53168,56459,47589,48014,47066,29761,31448,33428,25768,28047,31149,37115,38631,38018,34413,36010,34168,40035,34544,36984,44506,41446,44617,27412,29563,24648
9 h 52 min,21204,23289,23632,57617,53409,56277,47879,48218,46574,29854,31093,33461,26311,28040,30979,37097,38857,37356,34411,35884,33929,40069,34451,36956,44690,41018,44419,27462,29501,24537
9 h 54 min,21011,23122,23142,57684,53348,56421,47721,47886,46715,29890,31522,33820,26242,27921,30910,37328,38780,37636,34665,36097,34159,39695,34468,36602,44330,41502,44481,27231,29168,24737
9 h 56 min,21232,23231,23453,57611,53195,56265,47382,48261,46895,29996,31089,33553,25944,28023,30887,37254,39227,37294,34063,35813,34132,39503,34563,37205,44492,40907,44400,27110,29326,24399
9 h 58 min,21389,23129,23157,57959,53333,56310,47512,48104,46844,29820,30887,33182,26198,27789,30879,37240,38829,37293,34175,36045,34149,39768,34843,36922,44319,41289,44201,27213,29378,24423
