time,Negative,Negative,Negative,STAR6 15 nM,STAR6 15 nM,STAR6 15 nM,STAR6 10 nM,STAR6 10 nM,STAR6 10 nM,STAR6 5 nM,STAR6 5 nM,STAR6 5 nM,STAR6 3 nM,STAR6 3 nM,STAR6 3 nM,STAR1 15 nM,STAR1 15 nM,STAR1 15 nM,STAR1 10 nM,STAR1 10 nM,STAR1 10 nM,STAR1 5 nM,STAR1 5 nM,STAR1 5 nM,STAR1 3 nM,STAR1 3 nM,STAR1 3 nM,Without STAR6,Without STAR6,Without STAR6
1 h 36 min,15697,16384,16251,20739,20549,20069,19462,19504,18848,17253,17698,17893,16531,16619,17188,17720,18663,18313,19159,18597,19004,17879,17546,17903,19109,18886,18608,17029,17682,16871
1 h 38 min,15998,16294,16628,20450,21115,20196,19595,19490,18794,17477,17667,17908,16561,16902,17652,17954,18758,18278,19401,19069,19085,17947,17224,17748,19214,19055,18472,17094,17449,16731
1 h 40 min,15650,16396,16460,20730,21359,20451,19741,19925,19250,17344,17733,17809,16656,16863,17290,18145,18952,18549,19331,18990,19020,18147,17421,18241,19097,19082,18603,17143,17493,16915
1 h 42 min,16019,16413,16499,20923,21349,20688,19812,19988,19339,17659,17956,18126,16755,16924,17632,18507,19017,18719,19615,18907,19239,18277,17768,18048,19555,19154,18971,17424,17648,16982
1 h 44 min,15765,16477,16380,21293,21693,20689,20094,20272,19109,17925,18095,18025,16803,16673,17647,18503,18914,18766,19636,18976,19277,18626,17606,18035,19653,19297,19054,17199,17381,17135
1 h 46 min,16179,16336,16804,21540,21837,20854,20063,20209,19795,17837,18055,18161,16971,16993,17596,18468,19121,18736,19685,19010,19293,18764,17758,18129,19350,19495,19065,17215,17985,17103
1 h 48 min,15912,16470,16596,21773,22056,21260,20473,20407,19465,18033,18396,18297,17186,17036,17538,18547,19363,18868,19906,19444,19505,18777,18048,18570,19705,19527,18991,17181,17631,17097
1 h 50 min,16057,17000,16730,21935,22230,21019,20521,20915,19741,18114,18096,18257,17012,17194,18023,18456,19225,18924,19867,19452,19683,18890,18018,18264,19891,19650,19429,17363,17942,17488
1 h 52 min,16111,16505,17049,21991,22276,21528,20644,20827,20247,17933,18338,18350,16758,16859,17763,18554,19326,18950,20010,19376,19806,19383,18129,18686,19809,19664,19653,17324,17542,17328
1 h 54 min,16008,16800,16973,22384,22792,21628,20776,21103,20392,18305,18757,18537,17251,17064,18047,18626,19664,19254,19997,19744,19922,19162,18549,18683,20170,19879,19785,17616,17920,17208
1 h 56 min,16149,16588,17098,22676,22694,21791,21095,21350,20364,18357,18523,18849,17392,17214,17984,18756,19790,19274,20296,19912,19919,19547,18301,18765,20237,19939,19786,17504,17831,17192
1 h 58 min,16195,16933,17105,22766,23162,22371,21002,21539,20487,18254,18676,18436,17373,17290,18190,19023,19599,19267,20588,20327,20265,19586,18227,19140,20460,20063,19852,17388,18386,17497
2,16238,17146,17019,22824,23419,22496,21605,21636,20712,18538,18532,18799,17522,17462,18243,18885,19822,19577,20308,20144,20492,19660,18276,18747,20608,19986,20046,17582,18328,17509
2 h 2 min,16525,17106,17142,23114,23596,22579,21570,21695,20734,18536,18793,18858,17266,17364,18382,18900,19883,19643,20733,20506,20457,19666,18635,19074,20420,20083,20182,17811,18287,17688
2 h 4 min,16484,17237,17327,23537,23857,22955,21559,21867,21242,18622,18929,18848,17854,17732,18316,19324,19984,19700,20638,20277,20403,19934,18432,19438,21077,20211,19895,17619,18369,17715
2 h 6 min,16262,17131,17125,23823,24081,23152,21938,22053,21331,18820,18955,19188,17755,17685,18319,18989,20384,19855,20755,20236,20597,20098,18830,19543,20829,20771,20367,18089,18197,17707
2 h 8 min,16537,17288,17291,23529,24309,23434,22269,22262,21392,18903,18891,19190,17613,17520,18493,19256,20335,19907,21061,20548,20688,20268,18903,19400,21319,20810,20444,17968,18480,17926
2 h 10 min,16624,17415,17486,24218,24646,23488,21914,22532,21500,19049,18965,19193,17716,17842,18652,19394,20477,19970,20892,20658,20686,20187,18909,19606,21022,20406,20516,17991,18508,17984
2 h 12 min,16587,17408,17130,24161,24578,23746,22386,22370,21487,18808,19003,19306,17940,17829,18663,19444,20509,20101,21282,20798,20998,20388,19073,19920,21410,20743,20633,18051,18583,18081
2 h 14 min,16609,17328,17466,24282,25050,23847,22550,22687,22087,19218,19216,19542,18184,17960,18642,19589,20634,20092,21142,20681,20927,20514,19418,19634,21316,21067,21072,18315,18701,18079
2 h 16 min,16657,17175,17526,24561,24897,24099,22550,22683,22261,19156,19573,19552,18150,17750,18862,19718,21041,20342,21561,20884,21345,20701,19179,19880,21588,21009,20922,18116,18836,18066
2 h 18 min,16727,17403,17395,24734,25634,24196,23139,23128,22154,19155,19373,19273,18420,18113,18890,20147,20933,20589,21523,20913,21230,20727,19590,20108,21636,21447,21099,18330,18874,18104
2 h 20 min,16904,17658,17822,25220,25750,24575,22943,23100,22480,19223,19487,19878,18194,17993,18635,20005,20870,20651,21882,20962,21488,20794,19500,20234,21740,21361,21201,18443,18794,18554
2 h 22 min,16662,17303,17728,25284,25930,24603,23341,23311,22776,19430,19649,19759,18152,18229,18868,20123,21185,20607,21726,21678,21370,21157,19736,20195,21813,21452,21295,18399,18935,18081
2 h 24 min,16674,17477,17808,25784,26205,24778,23280,23355,22427,19413,19657,19959,18194,18236,19297,20249,21049,20680,22179,21222,21858,21257,19575,20560,21872,21717,21206,18378,19194,18295
2 h 26 min,17066,17379,17979,25576,26155,24963,23176,23791,22668,19488,20020,20054,18537,18191,19124,20576,21301,20805,22031,21599,21940,21359,19821,20575,21959,21827,21567,18532,19174,18463
2 h 28 min,16725,17602,18041,25716,26428,25513,23633,23805,23147,19691,19590,19872,18568,18004,19368,20416,21260,20999,22330,21510,21566,21238,19948,20416,22250,21639,21635,18669,19268,18670
2 h 30 min,16800,17839,17845,25554,26435,25117,23399,23920,22863,19864,19827,20101,18315,18347,19199,20309,21700,20988,22190,21797,21718,21487,19780,20778,22256,22006,21674,18558,19387,18624
2 h 32 min,17287,17805,18179,26071,26627,25706,24066,24271,23479,19862,20016,20103,18527,18490,19295,20513,21557,21163,22429,21608,21947,21378,20203,20757,22533,22105,22203,18586,19112,18728
2 h 34 min,17118,17815,17960,26653,27253,25822,23910,24150,23359,19720,20205,20414,18780,18511,19392,20372,21557,21293,22448,22032,21966,21802,20140,20659,22573,21946,21889,18624,19364,18566
2 h 36 min,17245,17842,18045,26493,27171,25935,24155,24754,23800,20093,20208,20322,18653,18456,19384,20710,21559,21222,22620,22033,22334,21519,20538,20876,22634,21763,21846,18903,19473,18682
2 h 38 min,17205,17928,17982,26983,27594,25994,24437,24627,23408,19963,20266,20352,18691,18477,19279,20661,21801,21207,22657,21871,22333,22198,20432,20756,22942,22399,21911,18978,19320,18448
2 h 40 min,17035,17849,18044,27087,27731,26362,24671,24838,24021,20176,20388,20364,18714,18532,19706,20719,21783,21700,22842,22182,22293,22033,20340,20883,22644,22464,22055,18932,19379,18762
2 h 42 min,17157,18157,18163,27088,27921,26696,24583,24744,24235,19887,20278,20578,18890,18557,19551,21294,22015,21667,22990,22285,22456,22102,20514,21402,22741,22397,22506,18918,19596,18694
2 h 44 min,17133,18105,18384,27289,28094,26955,24852,24477,24388,20421,20450,20822,19089,18795,19507,20914,22306,21708,23038,22634,22810,22287,20707,21341,22893,22736,22511,18851,19460,18799
2 h 46 min,17082,18157,18533,27552,28258,26920,24979,25282,24289,20261,20236,20723,18967,18688,19537,21008,22065,21629,22937,22497,22668,22365,20786,21230,23144,22597,22559,19041,19733,18852
2 h 48 min,17362,17940,18269,27919,28363,27295,25118,25149,24864,20697,20566,20934,19290,18826,19552,21363,22251,21898,23471,22537,22936,22535,20823,21358,23333,22748,22766,19136,20111,18898
2 h 50 min,17310,18088,18465,27840,28901,27416,25572,25548,25090,20580,20793,21133,18940,18863,20007,21276,22345,21888,23171,22501,22882,22638,20951,21678,23336,22665,22681,19194,19744,19248
2 h 52 min,17438,18300,18700,28353,28783,27553,25725,26095,24966,20459,20640,21104,19060,18828,19856,21415,22368,21984,23587,22794,22962,22826,20988,21646,23956,23225,22404,19178,20062,19196
2 h 54 min,17514,18190,18390,28425,28978,28095,25831,25898,24568,20617,20805,21301,19517,19065,19458,21342,22612,21840,23774,23016,23203,22824,20870,21780,23608,23232,22655,19305,19915,19278
2 h 56 min,17650,18467,18903,28287,29243,27891,25963,26323,25375,20437,20880,21283,19323,19182,20024,21681,22803,22339,23427,23355,23257,22881,21365,21790,23891,23348,22833,19093,20155,19178
2 h 58 min,17493,18337,18894,28667,29463,28435,26093,26285,25445,20696,21055,21341,19541,19019,19947,21711,22843,22467,23856,23105,23478,22984,21347,21941,24034,23793,23298,19325,20106,19101
3,17578,18461,18794,28836,29718,28586,26188,26490,25924,20739,21067,21389,19650,19276,19977,21679,22984,22606,23958,23075,23105,23257,21526,22214,24034,23485,23091,19461,20170,19312
3 h 2 min,17820,18472,18861,29416,29925,28627,26273,27116,25790,21058,21587,21338,19760,19127,20062,21757,22938,22374,24341,23356,23295,23500,21755,22526,24346,23763,23349,19692,20099,19388
3 h 4 min,17739,18672,18953,29867,30411,28730,26478,27037,26155,21034,21369,21572,19875,19258,20066,21994,23119,22852,24405,23471,23983,23568,21537,22369,24298,23962,23707,19821,20375,19713
3 h 6 min,17659,18556,18960,29778,30483,28725,26775,26814,26361,21496,21370,21194,19732,19379,20247,22299,23320,22922,24231,23650,23732,23626,21752,22336,24731,24154,23678,19701,20249,19798
3 h 8 min,17860,18810,19026,29873,30659,29501,26665,27060,26367,21412,21413,21659,19665,19087,20599,22503,23569,22786,24554,23306,23946,23593,21737,22726,24474,24061,23858,19483,20746,19433
3 h 10 min,18156,18605,18962,30056,30974,29761,27055,27219,25978,21203,21318,21753,20150,19267,20317,22317,23608,22945,24770,23990,24188,24003,21868,22540,24894,24213,23901,19801,20423,19818
