time,Negative Control,Negative Control,Negative Control,0 nM,0 nM,0 nM,15 nM,15 nM,15 nM,10 nM,10 nM,10 nM,5 nM,5 nM,5 nM
2 h 26 min,17920,18002,18658,75529.5,75848,76044,42735,42884.5,43097,44285.5,46523,43047,54123.5,59742.5,57741.5
2 h 28 min,18299,18032,18617,77349.5,76572,76959,43076.5,43277,43305,44939,46964,43953,55095,60596.5,58409.5
2 h 30 min,17883,18061,18871,78017.5,77828.5,78301,43930.5,43776,43948,45345.5,47845,44503.5,55930.5,61270.5,59119.5
2 h 32 min,18260,18079,18556,78940.5,78666.5,79095,44271.5,44507,44478.5,46232.5,48401,44686.5,57146.5,62026.5,60384
2 h 34 min,18286,18208,18891,79980,79815.5,80425,44732.5,45089,45041.5,46500.5,49233,45781.5,57919.5,63366,61293
2 h 36 min,18286,18104,18818,80877.5,80673.5,81779,45445.5,45441.5,45386,47262.5,49697.5,46208,58653.5,64074.5,61577
2 h 38 min,18204,17996,19025,82109,81991,82747,45819.5,46007,46422,47847.5,50183.5,46637.5,59010,65019,63108
2 h 40 min,18309,18323,18933,83463.5,82869,83238.5,46587.5,46585,46746.5,48186,50655,47325.5,60771,66169,63701.5
2 h 42 min,18617,18380,19129,84439,83439.5,84255.5,47171,47246.5,47110.5,48757,51235,47706,61021,66911.5,64762.5
2 h 44 min,18414,18296,19143,85799,84794,85124.5,47545,47697.5,47933.5,49348,52061.5,48717.5,61854.5,67575,65453
2 h 46 min,18413,18144,19339,86383,85524.5,86191,48128,48176,48516,49786.5,52437,49034.5,62809.5,68504.5,66192.5
2 h 48 min,18342,18690,19390,87284,86376.5,87509,48768,49179,48661.5,50554,53293,49484,63352,69941.5,66972
2 h 50 min,18721,18409,19248,88625,87713.5,88380,49374.5,49392,49222.5,50921.5,53857.5,50207.5,64371.5,70157,67889.5
2 h 52 min,18835,18731,19295,89592.5,88418.5,89167.5,49724.5,49803.5,50254,51760,54373,50812.5,65023.5,71347.5,68455
2 h 54 min,18734,18654,19296,90584,89438,89754,50135.5,50633.5,50526.5,52444.5,55020.5,51117.5,66001.5,72159,69849
2 h 56 min,18883,18722,19502,91269.5,90670.5,90962,50924.5,51128.5,51177,53227.5,55748.5,51928.5,67017.5,72874,70429
2 h 58 min,19036,18902,19339,92490.5,91089,91852.5,51700.5,51725.5,51808,53579,55998.5,52514.5,67766.5,73679,71031.5
3,19034,18627,19878,93000,92333.5,92894,52494,52241,51617,53951.5,57143.5,53133.5,68724.5,74882,71662
3 h 2 min,18838,18815,19558,94544.5,93234.5,93544,52807,52860.5,52603.5,55099.5,57493.5,53710.5,69410,75630,72690
3 h 4 min,18901,18830,19765,95519.5,94035.5,94994.5,53299.5,53688.5,53064.5,54994.5,58087,54258.5,70145,76775,73716.5
3 h 6 min,19144,18789,19762,96169,95142.5,95418,54001.5,53937.5,53935.5,55870,58811,54888.5,70974,77378.5,74758
3 h 8 min,19372,19146,19687,97499,96059,96378.5,54570.5,54629.5,53973,56425.5,59499,55624.5,72005.5,78919.5,75230.5
3 h 10 min,19330,18984,19755,98002,96718,97296.5,55058.5,55174.5,54494,57156.5,60063,56031,72792.5,79459,76133.5
3 h 12 min,18884,19400,19889,99134,97575.5,98096.5,56098.5,55594.5,55087.5,57475.5,60901,56659.5,73253,80087.5,77158.5
