time,Se6 5 nM + St6 15 nM,Se6 5 nM + St6 15 nM,Se6 5 nM + St6 15 nM,Se6 5 nM + St6 10 nM,Se6 5 nM + St6 10 nM,Se6 5 nM + St6 10 nM,Se6 5 nM + St6 5 nM,Se6 5 nM + St6 5 nM,Se6 5 nM + St6 5 nM,Se6 5 nM + St6 3 nM,Se6 5 nM + St6 3 nM,Se6 5 nM + St6 3 nM,Se6 5 nM + St6 0 nM,Se6 5 nM + St6 0 nM,Se6 5 nM + St6 0 nM,Negative,Negative,Negative
4 h 42 min,99232,89788,95150,78757,87794,84176,72988,69126,65455,57855,57808,56128,43089,45027,43582,24056,24430,23272
4 h 44 min,99433,90101,95828,78944,88589,84634,73586,69699,66326,58544,57976,56312,43346,44926,43405,24040,24172,23263
4 h 46 min,100254,90618,96818,79398,89290,85705,73653,69906,66420,58046,57860,56357,43273,44657,43739,24161,24173,23461
4 h 48 min,101302,91474,96694,79958,90085,85395,74187,70247,66628,58967,58378,56332,43519,45080,43847,24301,24237,23287
4 h 50 min,101909,92602,98189,81273,90518,86132,74183,70658,66975,59071,58934,56608,43342,45475,44335,24088,24394,23599
4 h 52 min,102972,93054,99510,80926,90724,86866,74490,70864,67198,59326,58764,56589,43571,45305,43983,24402,24262,23807
4 h 54 min,103695,94006,99649,82018,91750,87213,74955,71212,68125,59238,59580,56953,43784,45426,44014,24623,24372,23829
4 h 56 min,104263,93887,101378,83240,92001,87845,75822,71347,67831,59297,60256,57955,43670,45748,44350,24405,24412,23600
4 h 58 min,105179,95348,101309,83591,93291,88494,75781,72000,68558,60012,59765,57241,43565,45824,44663,24574,24486,23522
5 h ,106072,96310,102501,83918,93348,88629,76842,72337,68783,60057,60564,57471,43911,45736,44688,24447,24637,23708
5 h 2 min,107070,96527,102870,84901,94900,89533,76584,72349,69255,60132,60987,58142,43901,45840,44551,24576,24499,23440
5 h 4 min,107608,97495,103891,85965,94592,90401,77498,73145,69399,60252,60869,58522,43980,45844,44583,24744,24428,23844
5 h 6 min,108479,98084,105035,85518,95595,90924,78199,72760,69954,60680,61054,58563,43782,46271,45096,24868,24653,23975
5 h 8 min,108726,98896,105035,86536,95979,91235,78274,73354,69979,60337,61570,59025,44388,46180,44882,24632,24564,23915
5 h 10 min,109388,99238,106555,87018,96659,91544,77895,73900,70247,62056,62287,59227,44420,45907,44685,24787,24676,23995
5 h 12 min,110449,100151,106630,88111,96736,91979,79200,73848,70167,61304,61932,59556,44442,46129,44922,25218,24828,24068
5 h 14 min,111164,100430,107770,88729,96997,92610,79092,74613,70227,61995,62665,59620,44551,46195,44998,24701,24957,24059
5 h 16 min,111893,100389,108349,88853,97849,93914,79550,74887,71139,62412,62591,59566,44801,46410,45030,24939,24777,23691
5 h 18 min,112603,102182,108987,89703,98592,93845,79804,75722,71754,62489,63313,59633,44898,46068,45321,24784,24790,24177
5 h 20 min,113884,102203,109822,89867,99408,94548,80163,75653,71950,62756,63283,60464,44794,46429,45672,25071,25049,24175
