,,"Negative Control","Negative Control","Negative Control","Sense only","Sense only","Sense only","Sense with 5 nM STAR","Sense with 5 nM STAR","Sense with 5 nM STAR","Sense with 10 nM STAR","Sense with 10 nM STAR","Sense with 10 nM STAR","Sense with 15 nM STAR","Sense with 15 nM STAR","Sense with 15 nM STAR","Se1 + St1 oligo (I)","Se1 + St1 oligo (I)","Se1 + St1 oligo (I)","Se1 + St1 oligo (II)","Se1 + St1 oligo (II)","Se1 + St1 oligo (II)","Se1 + St1 oligo (III)","Se1 + St1 oligo (III)","Se1 + St1 oligo (III)","Sense with 15 nM STAR and 15 nM antiSTAR","Sense with 15 nM STAR and 15 nM antiSTAR","Sense with 15 nM STAR and 15 nM antiSTAR","Sense with 15 nM STAR and 10 nM antiSTAR","Sense with 15 nM STAR and 10 nM antiSTAR","Sense with 15 nM STAR and 10 nM antiSTAR","Sense with 15 nM STAR and 5 nM antiSTAR","Sense with 15 nM STAR and 5 nM antiSTAR","Sense with 15 nM STAR and 5 nM antiSTAR","Se1 + St1 oligo (I)+ antiSTAR","Se1 + St1 oligo (I)+ antiSTAR","Se1 + St1 oligo (I)+ antiSTAR","Se1 + St1 oligo (II)+ antiSTAR","Se1 + St1 oligo (II)+ antiSTAR","Se1 + St1 oligo (II)+ antiSTAR","Se1 + St1 oligo (III)+ antiSTAR","Se1 + St1 oligo (III)+ antiSTAR","Se1 + St1 oligo (III)+ antiSTAR",Sample,Sample,Sample,"Positive Control","Positive Control","Positive Control"
"1 h 2 min",,18386,26220,26593,34443,30011,29359,44771,40586,40144,33899,29986,45841,42031,37259,39745,25515,26027,25902,22131,30386,22431,20591,24227,24935,23791,19749,17580,22405,21821,30833,23826,26227,20913,26620,29429,25329,31664,24823,30907,26882,27292,21203,20726,22096,23847,43413,45635,41927
"1 h 4 min",,18131,26685,25764,35384,29562,29470,44060,41471,40287,33702,30312,46361,43964,39033,40892,25696,27587,25128,22195,31664,22065,20988,23596,24445,23612,19731,18092,23005,22213,31667,24477,27047,21862,25850,28670,24439,29234,24449,29081,26434,26857,21463,21093,22516,24029,45415,46776,43057
"1 h 6 min",,17988,26772,25641,35298,29592,29480,44483,41419,40504,35003,31019,46780,45210,40287,42085,25825,27838,25424,22349,31846,22502,21063,23360,24721,23074,19726,18288,23437,23314,32414,25358,27909,21649,26230,29073,24772,29434,24648,29523,26489,27288,21791,21349,22792,24297,46759,48056,44846
"1 h 8 min",,18777,26748,26717,35769,30979,30781,46300,42147,41171,35537,31722,48078,46348,41748,44431,27124,27614,27019,23115,31177,23679,21532,25327,26625,23946,21180,19016,23951,23409,32188,25052,28509,22059,28048,30990,26690,32603,25630,32086,27819,28292,22719,21483,23550,25112,47397,50321,45546
"1 h 10 min",,18502,27463,26391,36653,30372,30313,45918,42838,41704,36363,32359,49058,48080,43040,44892,26477,29175,26495,22903,32789,23162,21654,24589,25499,23972,20498,19101,24577,23997,32816,25969,28861,23117,27612,30314,25255,30165,25511,30352,27468,28274,22353,22252,23599,25271,49431,50850,47625
"1 h 12 min",,19326,27176,27095,36223,31574,31245,47061,43064,42197,38427,33594,49559,48935,44148,46844,28127,28070,27742,24164,31828,23945,22264,25595,27095,23922,21563,19927,25128,24085,32754,26163,29175,22779,29096,31732,27165,33405,26681,33041,28372,28853,23356,22725,24342,25503,50650,53067,48216
"1 h 14 min",,20128,27753,27424,37358,32371,31788,47999,44714,43572,39146,34374,50756,50910,45927,47710,28589,28450,28659,24867,33112,25033,23051,27048,28160,25025,22355,20047,25584,24755,33007,26331,29487,23123,29535,32862,28424,34521,26976,33477,28923,29772,23893,23053,24818,26132,51409,54908,50172
"1 h 16 min",,19763,27616,27278,37448,32719,32350,48404,44849,43297,39778,34882,51606,52287,46733,49832,28282,29001,28878,25306,32945,25184,23355,25931,28098,25141,22167,20482,25745,24949,33639,27274,29748,23933,29898,32478,28337,34344,27287,33647,29302,29765,23976,23561,25341,26374,53459,56016,51414
"1 h 18 min",,20694,28203,28249,38388,33088,32620,48738,45453,44554,40899,35737,53164,54591,48464,50465,29253,29359,29111,25785,33700,26081,23372,27614,29063,26055,22832,20895,26153,25202,33437,27610,30629,24572,30389,32980,29695,34994,28162,34675,29562,30536,24750,23774,25569,26665,54435,58096,53773
"1 h 20 min",,20439,28462,28610,39231,34318,33639,49815,45780,44822,41501,36352,54023,55800,49647,51461,29795,29706,30251,25570,33778,26549,23243,27952,28214,26470,23055,21339,26758,26114,33923,28520,31074,24040,31387,33643,29503,35028,28668,34614,30167,30683,25145,24717,26214,27155,56413,60108,54349
"1 h 22 min",,20517,28844,28374,39118,34253,34033,51167,46432,45658,42663,37374,55987,57480,51828,53742,29963,30253,30418,26331,34261,26369,23844,27837,29344,26331,23431,21421,27231,26558,35133,28826,31758,24927,31256,34172,29847,35429,28670,35019,30256,31287,25464,25150,26331,27553,57618,61935,56545
"1 h 24 min",,20950,29785,28744,39041,34955,34038,51468,46921,45747,43331,37749,56087,59231,52871,54509,30643,30582,31566,25844,34384,27702,23331,27630,28601,27027,23237,21766,27650,26731,35348,30046,32659,25585,32229,34039,30328,35144,29519,34571,30936,31676,26279,25584,27255,28167,58865,63269,58108
"1 h 26 min",,21436,29262,29227,39837,35103,35053,51936,48579,46753,44787,39224,57185,60443,55110,55686,31362,31045,31575,27356,35175,27470,24680,28822,30076,26979,24551,22768,28445,27638,35878,30229,32450,25606,32612,35156,30919,36368,29704,36243,30939,31620,26086,25987,27202,28620,60661,64819,59191
"1 h 28 min",,21728,30125,29072,41069,34733,34782,50503,48296,46454,45348,40147,58122,62628,56186,57467,31465,32491,31211,27197,36620,27909,25107,28991,30025,27351,24640,22670,29131,27729,37211,31003,33609,26149,31719,34015,29983,34308,29033,34641,30133,31078,26915,27019,28329,29213,62077,66598,61946
"1 h 30 min",,22825,29945,30754,41333,35869,35800,52697,49563,47660,47519,41137,60072,64013,57956,59394,32748,31758,32600,28331,36874,29095,26418,31069,31906,28275,26135,23591,29600,28374,36829,31059,33614,26039,33237,35700,33309,37962,29764,37234,31268,32117,27593,26770,28323,29809,63097,69298,62893
"1 h 32 min",,23078,30932,30467,41118,36284,36293,53422,49747,47993,48225,42292,60518,66123,59907,60600,32963,32064,33226,28560,36774,29351,26972,30400,33957,28085,26226,23608,30153,29557,37562,31896,34671,26989,34113,36206,32414,37384,30784,37306,32140,33046,27783,27796,28841,30068,64473,71035,64275
"1 h 34 min",,23040,30678,30311,41848,36572,36705,53591,50031,48331,48698,43834,61806,67504,61434,61773,33680,32772,33626,29335,36940,28981,25942,30099,32050,28880,26149,23949,30718,29499,37745,32319,35085,27254,34016,36829,32372,37721,31169,37329,31582,32804,28410,28043,29625,30978,66898,72183,66851
"1 h 36 min",,23602,31139,30896,42525,37157,37097,53780,50214,49180,50936,44603,63101,69958,63194,63411,34395,33241,34234,30195,37306,30166,27302,31897,33592,28984,26965,24927,31303,30237,38497,33131,35582,28053,33981,37136,33691,38618,31286,38260,32669,33591,29329,28570,30343,30802,68832,74383,67996
