,,"Negative Control","Negative Control","Negative Control","Sense only","Sense only","Sense only","Sense with 5 nM STAR","Sense with 5 nM STAR","Sense with 5 nM STAR","Sense with 10 nM STAR","Sense with 10 nM STAR","Sense with 10 nM STAR","Sense with 15 nM STAR","Sense with 15 nM STAR","Sense with 15 nM STAR","Se1 + St1 oligo (I)","Se1 + St1 oligo (I)","Se1 + St1 oligo (I)","Se1 + St1 oligo (II)","Se1 + St1 oligo (II)","Se1 + St1 oligo (II)","Se1 + St1 oligo (III)","Se1 + St1 oligo (III)","Se1 + St1 oligo (III)","Sense with 15 nM STAR and 15 nM antiSTAR","Sense with 15 nM STAR and 15 nM antiSTAR","Sense with 15 nM STAR and 15 nM antiSTAR","Sense with 15 nM STAR and 10 nM antiSTAR","Sense with 15 nM STAR and 10 nM antiSTAR","Sense with 15 nM STAR and 10 nM antiSTAR","Sense with 15 nM STAR and 5 nM antiSTAR","Sense with 15 nM STAR and 5 nM antiSTAR","Sense with 15 nM STAR and 5 nM antiSTAR","Se1 + St1 oligo (I)+ antiSTAR","Se1 + St1 oligo (I)+ antiSTAR","Se1 + St1 oligo (I)+ antiSTAR","Se1 + St1 oligo (II)+ antiSTAR","Se1 + St1 oligo (II)+ antiSTAR","Se1 + St1 oligo (II)+ antiSTAR","Se1 + St1 oligo (III)+ antiSTAR","Se1 + St1 oligo (III)+ antiSTAR","Se1 + St1 oligo (III)+ antiSTAR",Sample,Sample,Sample,"Positive Control","Positive Control","Positive Control"
"5 h 14 min",,59833,64082,63967,75696,74217,78253,80225,89137,97829,172313,167473,160690,249522,243568,219752,65863,53294,68687,69881,65610,59444,62905,61372,66662,52854,56560,55989,90240,80185,86335,88757,91269,109378,51552,55363,61694,56855,53826,55025,47411,49572,57999,56497,55580,51964,223080,271716,225678
"5 h 16 min",,64929,66953,68916,79448,77635,83644,83765,94245,101433,183376,168933,168356,250746,247790,226531,72515,53255,73945,75379,69397,63700,74163,68593,76463,53235,62504,58743,90125,79866,85839,87730,89272,108319,54153,60099,71015,62757,56832,57248,49018,51426,61260,56454,55991,52117,221801,274535,224592
"5 h 18 min",,67656,71138,68691,85509,78787,83464,84307,97954,106722,184219,176239,174125,253043,252231,232953,70852,53729,76689,74621,73394,70191,78244,76037,78970,53455,67145,65108,92702,81169,91412,89087,90346,108266,52953,61855,77578,64630,54954,58374,48540,53153,63448,57187,56662,54571,223272,275085,228250
"5 h 20 min",,62386,67409,67198,79484,76761,83108,83274,91233,100007,177073,170523,166475,254624,249605,225211,70190,53826,73149,72515,66763,63202,68293,67049,71102,52993,60319,57621,88922,81317,87310,89050,89342,108329,53240,58657,67162,60610,55284,57979,49224,51155,60521,57391,56628,52596,221787,276213,225170
"5 h 22 min",,62106,66298,66139,77428,76128,80107,81009,90284,99130,176932,171595,166491,254817,249096,227549,68187,53463,72046,71615,65945,62314,65417,65486,69463,52441,59429,57339,88498,79881,86870,89367,89232,109174,53752,58593,66670,60047,55075,56932,48414,50311,60021,56809,55756,52330,221031,277148,225115
"5 h 24 min",,61844,65070,65937,77982,75568,80721,82063,92344,99790,182999,167384,165222,253455,253139,227205,68605,53827,69540,70740,67103,60338,70256,65727,71570,51655,60031,57049,91082,79242,88356,89565,90844,109464,51634,57108,66454,58426,54850,56219,48927,51840,60409,57374,55751,51861,225472,276529,227026
"5 h 26 min",,63110,71322,68146,76072,77027,81041,85780,87545,97541,176714,166506,165445,256673,246208,226572,69910,53619,74022,67763,65318,62873,64547,60883,70561,52918,55885,53270,92807,81203,86273,88948,89923,108513,53841,59273,64900,58881,54240,56972,50309,52612,61690,58452,56033,51406,223877,274686,226283
"5 h 28 min",,60354,64724,65184,73688,75360,78539,80791,87400,94534,176244,168335,162929,252314,249550,226407,65259,53402,70582,68986,63442,58387,62970,61041,66960,51637,56406,53846,85259,77453,84479,87859,88563,107620,52451,57204,63154,58990,54041,56240,47795,49790,59154,55189,54716,50861,218968,273820,224290
"5 h 30 min",,63617,66962,68274,77473,77376,83970,83419,93695,99485,181904,174440,164919,253620,250292,228786,71940,53630,73099,74128,67353,61113,69388,66079,73221,51736,58660,56490,89893,78824,84972,87446,88123,107848,54021,58853,66709,60680,56398,58655,49104,51646,59107,55969,54963,51461,221058,273531,224097
"5 h 32 min",,64215,70817,68469,77210,76409,81839,86304,89617,98873,175731,172273,165306,254858,247047,227109,72175,54043,72582,68504,64583,63594,62488,65604,66684,52811,56753,54633,91834,83974,86504,88742,88662,108107,53274,58043,64980,57384,53908,57748,50958,53275,61277,57202,55350,51648,223038,274274,225005
"5 h 34 min",,64722,67062,69386,77595,76930,83940,83645,94972,100786,183374,174317,165223,253538,251709,231399,72848,53998,72955,74391,66851,61796,69310,66621,72700,51902,58253,56412,88865,79093,84887,88191,88393,107756,53919,59880,67179,60664,56241,59157,49239,51597,59595,56032,55285,52126,221897,275209,223327
"5 h 36 min",,63930,68907,67969,77392,77432,82309,83355,91582,100190,178911,174194,165651,254046,251681,229047,71190,54394,72157,71431,65051,63510,63909,67384,67360,51430,57881,56628,87892,81770,87437,88501,88549,108014,53655,58708,65723,59551,54787,57324,49432,52306,60165,56573,55867,52096,222076,276763,226132
"5 h 38 min",,63544,68123,67979,76589,77339,82419,83547,92273,98786,181517,176371,166751,254404,252341,229419,70820,54531,72501,71004,65263,62318,65974,66496,70892,51492,58935,55617,87423,81148,85432,88001,87882,108313,53235,59038,65341,59796,55024,58783,49577,52001,60379,56527,55887,52058,223712,276667,225802
"5 h 40 min",,63694,68859,68337,76714,77917,82010,84036,93192,99011,185168,168495,167102,255793,253359,231619,70183,54538,74187,72643,66222,62770,68067,67018,71795,51254,58331,57332,85241,76251,87533,88387,88746,108813,53868,61451,68864,62487,56572,57070,49773,52736,62274,55982,56805,52442,224523,279362,226586
"5 h 42 min",,61319,65876,65810,74203,75423,80418,82547,91593,97604,179809,175995,159679,253015,249069,227342,67849,54748,68530,68374,65592,58316,61645,61883,65123,50556,54251,54798,91804,79363,86803,88512,89408,109386,52177,57282,60517,55581,55182,56379,49287,52621,58719,56525,55139,52011,226834,276598,227095
"5 h 44 min",,63691,67774,69072,75497,78344,82496,82825,92104,98570,181554,176713,161988,254569,248477,230973,70285,54511,71735,70343,65286,60274,62581,63885,67529,51107,55475,54784,88597,79027,84063,87890,88566,107328,53751,59620,63530,59938,56749,57833,49506,52453,58687,55496,55415,52391,224152,277519,225568
"5 h 46 min",,62266,67837,65491,76743,77064,79672,82811,94072,99304,177713,170748,163921,252025,254363,229185,66356,55551,72363,71781,66895,63542,65637,66352,69420,50313,56902,56067,85960,77003,91967,89636,90370,109873,52612,59819,67481,59171,54300,55812,50046,52779,61465,55974,55644,52532,226504,278729,229336
"5 h 48 min",,62009,66701,65204,74699,75553,80512,83754,92340,97363,178124,172715,162962,254280,251860,228030,67523,55414,69421,67817,65332,60518,63479,64668,68492,49797,55228,53970,88500,78810,88405,87733,89625,109352,52093,57953,63062,56940,53958,57170,50420,53208,59437,56157,55241,51821,225692,277602,227934
"5 h 50 min",,63035,67173,67630,75748,77110,82724,83221,93835,98476,181809,178707,162852,254858,252713,230299,71228,54911,71722,69934,66533,61748,63077,66053,68631,50340,56184,55351,88191,77854,84898,87790,87656,107819,54378,60289,64212,59646,56666,58121,49495,52103,58843,55117,55297,52482,224028,278592,225926
"5 h 52 min",,64558,69508,68872,76524,77633,84262,84986,93874,97885,183043,176578,164670,255710,252603,230890,72945,55780,74011,70906,67304,63829,66752,68655,70770,50209,57242,55157,87962,79126,85373,87375,87226,107108,54155,61465,67206,61185,56026,59251,50580,52945,59915,55803,56072,52397,222860,277464,226545
"5 h 54 min",,63396,72897,67955,73421,75905,80373,86966,88830,94998,177619,172127,161849,254115,246937,228704,70467,55151,72812,65361,65026,63262,60750,62830,68436,50051,53748,50483,88325,78449,84479,87049,87185,106874,54481,59621,64049,58589,53767,59015,51832,54980,59892,55681,54084,50684,220577,274164,223850
"5 h 56 min",,74428,74336,72022,83901,80694,86097,86198,99617,106637,191303,185002,172495,256810,258295,240612,71715,56142,80931,77162,75689,72755,74588,77263,76368,53086,62765,63662,90064,77668,93469,87522,88705,107850,53464,66546,79222,67110,56367,60389,51233,56078,65598,55865,56510,56130,222585,278165,230739
"5 h 58 min",,66754,71173,71611,77891,78371,86397,88823,100604,101669,185655,180266,166009,254349,253070,234603,77448,55345,75909,69178,70199,63639,71725,71751,77081,50757,59136,57079,94251,83443,84681,86954,86949,107352,55192,61137,69737,60817,55270,60687,52299,55899,59264,55530,54985,52910,223836,276405,229666
"6 h",,64270,75721,68401,76981,76711,81073,86336,94106,97713,175450,179359,163410,254294,249385,230368,70548,55367,75535,64748,67483,68259,61478,70510,68253,50057,57279,56183,86640,82257,86686,87046,87343,106594,53807,60505,68437,58626,54454,58510,52272,55908,61137,55339,54432,53192,219147,276474,226036
"6 h 2 min",,63703,68994,67489,76452,77269,81652,85973,97327,99687,185094,175076,166164,254431,256288,234809,69988,55465,76327,71537,68599,66272,68945,71371,72935,50159,59174,57578,86352,75109,88116,88015,87612,107604,55094,64578,71569,63366,56869,58953,51678,54360,62823,55301,55163,54370,223327,280269,226889
"6 h 4 min",,63140,72793,67554,74430,75659,80589,85320,91921,95562,178543,177314,163101,256233,254280,232499,71832,56424,74931,67644,67480,65944,62852,68317,70276,50023,56729,53335,87431,80296,85751,87098,87882,107760,54357,62058,67019,60513,54971,59460,51369,55158,60680,55912,54654,52565,222681,279609,226627
"6 h 6 min",,65759,73224,69870,77441,76201,82295,89811,92690,98011,180857,175591,164756,255339,251214,231468,74981,56444,73876,65246,66386,67962,61069,70475,65301,50193,56210,54423,87383,83646,86271,87784,87667,107995,54190,59864,65876,58785,54358,60613,54034,58467,61852,55709,54564,52744,224193,278468,228112
"6 h 8 min",,63026,71916,66311,73790,74907,78691,86709,89313,92939,171838,172350,157032,250554,246222,225596,69793,56027,70908,62026,64105,63988,57241,65190,62568,48921,52555,49939,85324,79498,85965,86491,87170,107665,52852,56820,60617,54969,52942,57614,52374,56659,60444,54743,52313,51290,222034,275127,224427
"6 h 10 min",,60474,65031,64566,72044,74406,78330,83123,94542,93950,179146,170687,158381,251420,253483,230986,67426,56932,71809,65957,65317,59585,61834,63303,67711,48254,54098,50800,83550,74180,85657,86642,87683,108020,53187,59608,63494,58846,54760,57128,50974,53373,58938,54241,53511,51929,224097,278495,226407
"6 h 12 min",,66970,70799,69432,77218,77629,83480,87962,104480,103071,185292,183025,166306,255064,257787,239897,74173,56917,77214,67945,71387,66232,71764,74540,77698,49616,61853,58003,89500,80833,85517,86493,86656,106585,55663,64274,72456,62239,56533,60760,52163,57132,60696,55254,55118,53999,224400,278977,229350
"6 h 14 min",,62455,67902,66987,74251,75875,81145,84185,95830,96096,181798,178140,160437,253235,253153,233131,71853,56588,73506,67370,66097,62027,62096,67886,69109,49508,55685,53161,86085,76901,83106,85405,86333,105780,55219,62236,64358,59905,56270,59484,51049,54191,58448,54272,54139,52805,223038,279279,226008
"6 h 16 min",,61139,64696,65314,72585,73958,79226,85468,95609,93568,183530,171181,158978,252534,253015,230299,70124,57390,71874,65783,65919,59156,63173,63798,68444,47903,53248,51032,83953,73642,85684,86872,86913,108056,54012,60339,62908,59404,56480,59125,52014,54812,58597,54515,53901,52075,223382,279046,227576
"6 h 18 min",,70090,71533,72780,79293,77869,85015,89122,105732,101715,187271,180251,166616,256439,258460,237752,79177,57431,79939,67690,71144,67256,72664,76629,78830,49407,61625,56930,88786,80499,85932,86936,86279,106684,57289,65406,73596,63351,57669,61163,53596,57914,60656,55629,54594,54160,223973,280544,228951
"6 h 20 min",,64500,69836,69437,75129,74480,80988,90731,93136,94645,179751,173519,159645,253386,247639,230230,77331,57164,72603,65363,64006,62517,59585,66290,66186,49542,52779,48833,86684,77803,82049,85772,86166,105863,55932,60537,62518,58047,56109,62302,53980,58044,59731,55221,53073,51463,222956,276268,225032
"6 h 22 min",,72972,72738,73137,81452,79235,85679,89181,104690,103696,188458,184180,167986,252864,258612,239814,79570,57286,81919,70403,73646,69576,73501,77966,77342,50172,63267,59903,87855,77086,88225,85138,85322,106304,56995,66731,75709,65315,58680,61094,53569,58504,62563,54185,54553,55835,223025,279403,230285
"6 h 24 min",,61575,66653,66413,74037,75516,80968,86460,98036,95015,182249,173651,160122,251805,252534,234231,71580,57413,76676,68599,68221,63367,64327,68953,70923,48808,56367,51887,82405,72244,83804,85275,85479,106090,56550,65008,68041,63629,58314,59986,52317,55132,59994,53169,53874,53712,221471,278825,224413
"6 h 26 min",,64379,68270,68111,77633,77008,83096,88086,99771,96779,185185,175564,162558,253359,256989,236335,75719,57523,79568,69957,70774,66663,68459,72605,73989,48816,58418,54852,83136,72594,85500,85776,85210,106053,57809,66837,71374,64957,59077,61186,53534,56863,61720,53049,54521,55181,223203,278894,226531
"6 h 28 min",,62888,69421,68438,74732,75770,80952,87307,96156,96456,177098,176669,156318,249509,247254,229859,75618,57663,75512,64730,66378,62496,60534,68552,68476,48938,54202,51741,84275,76952,81321,84118,84400,104302,56394,63059,63081,60077,58029,60929,53040,57246,58113,52420,52969,52140,219711,274205,224936
"6 h 30 min",,62412,71106,67804,73889,75699,79229,87882,96351,93582,178422,179050,159349,252878,251764,233874,74415,58067,75964,64536,67547,65099,61823,69654,71021,49143,56373,51166,86169,78640,82809,86209,85095,104990,56537,64629,64498,61050,57109,60728,53386,57876,59123,53761,54375,54010,223176,278152,226806
"6 h 32 min",,59540,63843,63589,72523,72596,77755,85754,96728,91768,179330,169179,154235,249467,252616,232526,69011,58551,73357,65032,66549,59518,61973,65147,68914,47721,53945,48933,82186,71821,83552,85245,85931,106327,54626,62021,63033,60141,56686,59064,52436,54847,57696,52898,52811,52779,223203,277945,225596
"6 h 34 min",,67907,68085,69970,79952,76362,83277,88315,102859,98576,191288,179167,164520,250870,255930,240103,78485,58730,80384,72305,72915,69449,71132,77476,75947,49468,61380,56316,85914,71812,83164,83997,84755,105317,58510,69221,75136,66567,61524,63300,53766,57482,63032,52736,53382,56967,223080,279431,225156
"6 h 36 min",,61470,65305,66478,75344,74816,82114,88489,99655,93846,182985,176961,158380,252823,252190,233406,75829,59270,76363,67508,68509,63432,64308,69390,72016,49109,55541,50849,82635,73970,80584,84070,84106,105448,57508,65352,65819,62344,61006,64188,53836,57098,58013,53244,53189,53500,220494,277725,224372
"6 h 38 min",,60652,65428,65680,72876,73099,78771,85645,96219,92566,179723,176315,155316,252066,250746,232746,73563,58527,75068,66529,66162,61470,60104,66917,67227,48646,53670,49604,82373,73386,80250,84280,84059,104926,57568,63630,63365,60654,59146,61579,53585,55775,56925,52263,52336,53683,219491,276818,223767
"6 h 40 min",,60825,69253,66563,73978,72780,79057,88821,98995,94323,179811,182408,159587,251351,251723,236349,75709,58665,76792,63775,68613,63234,64098,71675,74746,49893,57065,51523,86896,78002,80939,84979,84062,104954,58273,65653,65388,61560,58914,62788,54579,59949,58034,53511,53308,55038,221993,279156,226256
"6 h 42 min",,62299,65400,67270,75039,74432,80977,87979,100999,92355,183546,173319,158184,253524,253785,234562,76125,59177,79133,69029,69291,64070,66087,70779,73435,48409,56628,50942,80738,70488,80691,84227,83736,105200,58431,67085,68860,65178,61413,62964,54576,57385,59255,52902,53936,55067,222186,280311,222832
"6 h 44 min",,65702,68803,67517,81055,74980,83126,92229,110133,100994,185246,179813,163378,253194,255985,237669,78956,59924,81195,67095,74227,69720,73911,80293,80755,49535,62995,56968,85896,78152,83880,84490,84842,104598,58576,68354,76037,64602,59357,63850,56476,61541,60726,53900,54269,56938,222199,278825,229859
"6 h 46 min",,57525,63652,62503,71512,71923,76619,86831,95520,91025,176140,173592,155042,251764,250966,231344,70942,58685,74768,64940,66247,61646,59102,66197,67563,48658,54040,48535,80213,72947,79736,83622,83892,104991,57540,64045,62930,61424,59051,61443,53201,56479,56682,52227,52569,54293,219271,279816,223905
"6 h 48 min",,62507,70756,66418,80360,73718,77804,91689,100553,94857,174007,172913,158634,253001,249646,229364,77071,60128,78916,69232,69772,71165,60738,77686,69122,49312,57016,53526,80551,79454,84318,84846,84264,104087,57776,66006,70422,61630,57746,63806,56797,62351,60466,52996,53718,55284,219188,277574,224386
"6 h 50 min",,62087,64813,66612,76855,73799,81514,90459,105030,93391,184818,175458,158816,251613,254486,237037,80222,60594,79052,69968,70867,64792,68108,73184,75600,49056,58353,52271,81800,71899,79216,83595,84762,103989,59780,68510,70591,64979,62643,65674,55435,58708,58977,52209,53434,55822,221471,278344,223038
"6 h 52 min",,61409,64932,66830,75682,73281,80026,89500,100873,93489,180662,177655,155863,251296,248876,233571,78951,60770,76423,66260,68571,62165,61960,68957,69814,49754,54643,49840,84236,75299,78004,83370,83767,103318,59619,66114,63627,62777,62704,63732,54612,59595,57086,52676,53117,54715,222144,277808,223822
"6 h 54 min",,59144,63283,64648,74364,72221,78355,89348,101233,90226,180155,173145,156982,253813,253634,234534,75182,60329,77477,66755,67723,63178,63896,69600,72436,48761,55654,49268,79880,72693,79868,83041,83746,103155,59235,66826,66707,63347,61023,65116,55495,57656,56937,52071,52960,55028,218913,278743,223547
"6 h 56 min",,59637,63772,64629,73755,72048,77858,88538,100476,91049,180890,175588,156408,252025,252396,234094,76335,59547,77674,66874,68486,62284,63053,69619,72790,49213,55380,49512,81416,73516,78312,83032,83661,103661,60320,67354,65471,64084,62247,64251,54532,57725,56540,51817,52344,55997,220206,278674,223437
"6 h 58 min",,60557,67822,65253,78617,72447,77909,90175,99944,91779,174745,173072,158399,253565,250691,232375,77825,61087,78939,66387,69201,69219,61808,75246,70073,49291,57443,50872,80668,77817,81520,83462,83733,103754,59575,67954,68370,63134,60394,64554,55920,62262,59465,52582,52939,56376,219559,278495,225720
"7 h",,56929,61642,61560,72883,70971,75393,90513,96654,88586,175572,168490,155203,250127,249192,232100,71861,60994,76113,64228,65889,62011,60142,67555,68826,48617,54122,47715,77708,72156,78575,82502,83946,103820,58855,66059,64070,62553,59434,64075,55729,58685,57115,51596,52095,54965,215424,278289,222488
"7 h 2 min",,59689,63417,64426,76815,72319,79769,92755,104466,92326,179700,174910,156741,251585,250884,234190,79234,62248,78215,67323,69717,64745,66410,73499,75501,49248,56864,49981,81951,73946,78803,82546,83398,102765,60285,69420,67777,64811,62993,68237,57840,61937,57057,51827,52882,56174,219999,278495,223891
"7 h 4 min",,70429,69616,68533,85992,76692,83669,95277,112731,101203,182062,181150,164971,252561,257622,239539,82989,62800,88232,70000,79085,74739,75865,84055,81676,50863,64416,59255,83588,75906,86717,83945,84164,103614,62218,74513,80839,68609,64585,67386,58272,64573,63846,52697,54307,62930,219931,278702,230945
"7 h 6 min",,58607,64492,62489,78338,73877,77714,93943,107738,94880,177615,171246,157645,250554,251998,234176,74939,62621,83307,69161,71932,69520,66311,76120,75272,49257,59249,53096,78327,71969,82717,83838,83844,103819,62021,73140,73889,67849,62338,65396,59118,61333,61299,51261,52962,59263,217532,280407,224455
"7 h 8 min",,67881,68337,67837,85903,74299,80961,95025,111162,99753,185702,178699,164839,252520,256095,240241,79348,63781,86228,72444,79588,74754,73786,83410,80681,50586,62448,58560,82147,73257,87678,83890,84276,103987,62564,76555,80955,70135,64121,67715,57963,63398,63729,52206,53579,62938,220192,279307,229707
"7 h 10 min",,69433,67694,68591,86517,75568,82534,96383,114615,100467,182107,177010,162319,251984,256247,236514,84615,63233,88397,68819,77998,73267,75533,84407,82561,50344,64321,57352,81965,76400,84722,83382,83864,103157,62646,74396,79872,68914,65644,67984,59813,65047,62169,52280,53627,61386,219463,279953,228951
"7 h 12 min",,56768,62118,62716,75568,70758,76430,90719,105591,90044,177228,171950,155893,251489,252080,232306,76896,62024,80075,66938,69360,63414,64198,72087,74156,48852,55547,49242,78868,72451,77870,82113,82404,102461,61770,69778,67950,65419,63616,65909,55907,59790,56394,50973,52123,57057,219147,277753,221677
"7 h 14 min",,57919,62008,63086,76775,71190,77230,92381,105179,91443,177752,173482,156178,249811,250512,232526,80219,62600,79968,66948,70593,64582,65134,74094,74055,49316,56484,50058,79723,74452,78147,82056,82370,102107,61699,70254,67119,64697,64922,67194,56522,61300,56583,51308,51979,57835,218129,277382,222695
"7 h 16 min",,57675,66584,63380,76231,71396,77541,96163,105553,91536,176577,175223,155883,251874,249729,233805,80896,64063,81878,65124,72659,68240,66088,74246,78453,49968,57011,49698,83562,77119,79299,82508,83419,102912,63808,72707,69886,65855,64125,69983,59344,65214,56946,52183,52470,58732,219449,277588,225156
"7 h 18 min",,58147,61841,63520,78166,71351,78757,95604,109582,91251,181383,172859,157196,250994,252259,234369,81965,63562,80852,67173,72140,64281,68940,75517,78608,49328,58195,50834,80366,72760,76527,81396,82491,101507,62650,71840,69736,67076,66591,71229,59706,63670,56244,51379,52482,58949,219463,278138,221017
"7 h 20 min",,59930,67233,64476,78916,70953,77078,98417,103049,89827,171756,169899,154304,250127,243953,227851,82812,64656,83556,62499,70994,68836,62703,74139,73296,50010,54749,47840,80319,76327,78503,81663,82336,102858,62934,70738,69182,63539,62736,69812,61949,67761,59441,51881,51028,56877,216864,273380,220893
"7 h 22 min",,54875,59641,59967,75462,68522,74529,92083,105033,89088,171783,168265,150703,246717,246016,226847,76508,63651,77555,64547,69993,62942,62647,70881,71809,48224,54103,47778,79963,73101,77909,81294,83059,101685,60517,68442,64840,61953,63166,65989,57323,62596,54897,50072,50574,57347,216892,273600,220563
"7 h 24 min",,53230,58235,58136,73281,67158,70883,91485,100888,86738,167034,164805,149132,244875,246373,225307,70801,63934,76164,61908,67309,61132,59440,67708,68412,47794,52317,46400,76935,71960,77647,81272,82125,101512,59618,66841,62501,61163,61094,65233,57541,62129,54979,50149,50386,56634,214747,272143,220178
"7 h 26 min",,64991,67203,64419,88076,73272,80132,98253,117670,99622,176379,174575,161043,249247,253483,234974,83677,65970,89533,70185,79558,75878,76309,87134,84174,50746,64308,58005,81212,74780,85493,81826,82972,101639,64085,77255,83301,70166,65036,70320,62054,69318,62157,50766,52596,64231,216795,274301,225458
"7 h 28 min",,53257,59118,58227,73879,68055,72258,94433,100949,88449,169387,164885,151648,246924,245810,228305,74476,64725,78353,63893,67861,63023,59601,70998,69002,48828,53913,46969,76466,72431,76959,81321,82197,101369,61909,69662,65769,64040,62394,67849,59083,63779,56020,50072,50876,57854,213206,274411,219147
"7 h 30 min",,57136,61263,61858,79591,70455,75791,98053,110328,91786,177517,165577,155458,248904,249825,231756,81875,67062,84953,69354,73602,67927,69008,78682,77819,49567,58480,51591,76868,70384,78199,81183,82547,102150,65342,77165,75274,70681,67454,71080,61730,65989,59673,50081,51895,61266,217359,276350,221429
"7 h 32 min",,53602,59185,59268,74571,68213,72450,94636,102448,88928,170239,166494,151812,248409,246772,229267,76533,65891,78914,64299,68318,63398,59048,71399,70056,49059,54127,47583,77924,74133,77258,81369,82101,101861,63380,71312,66019,64535,64084,69232,59622,64226,56248,49621,51264,58703,213880,277093,221154
"7 h 34 min",,53963,58940,59595,77213,67729,73094,95330,108155,90075,172126,168321,152516,248780,249701,229075,77464,66370,79087,66043,71450,64396,64469,74698,74319,48944,55623,48266,80512,73883,78193,81566,83213,102718,62646,71281,68030,64721,64968,69401,59589,64376,55381,50623,51208,59754,215901,277120,223451
"7 h 36 min",,56068,60639,61522,80106,69039,75532,98541,114694,92097,177062,169851,157045,251145,251503,233998,83154,66668,84423,68984,74554,68043,69710,79890,78952,49656,58844,51405,78740,72333,78871,81832,82299,101798,67006,77434,73951,70183,69625,73659,62579,66550,57848,49833,52461,62191,216575,278825,221663
"7 h 38 min",,58560,61107,61785,84312,69719,76341,99033,115172,94286,177563,167129,156694,247969,250760,232953,83936,68675,84530,69201,77403,71004,72416,82358,79986,49515,60061,53926,81205,71734,80279,81658,83350,103176,65245,76762,77549,69316,69554,72260,63504,68278,60565,50740,51802,63560,217909,275745,221911
"7 h 40 min",,53577,58434,58197,76721,66493,71619,95781,104614,88610,168324,167912,150165,247199,245370,226724,76791,67306,77563,64096,70498,63841,59636,71227,69254,48583,52553,47670,80095,74405,78682,81431,83430,102393,62933,70213,64677,62300,66320,68876,61288,65596,55822,50132,50265,59712,216122,276832,221979
"7 h 42 min",,54708,59488,60027,78663,68498,74331,97487,110366,90348,173898,168607,155969,249426,248601,231440,82457,66797,83114,67790,72675,67035,66187,77079,76164,48996,57215,49481,78254,73351,77443,81139,81278,100901,66506,76338,70546,68766,69528,71218,60907,65728,55645,49837,51138,61332,215214,276667,220467
"7 h 44 min",,55122,59670,60566,80097,68097,74115,97848,110101,90707,172527,169189,153837,251310,248821,230450,82797,67073,83614,67573,72017,67449,64731,77471,75169,49680,56222,49596,79207,74319,77627,80956,81566,101229,66853,75934,70501,68560,70042,72686,61133,65910,55619,49764,51060,61582,214004,276048,220151
"7 h 46 min",,59114,62431,62310,88385,69763,77573,102806,122099,96942,179090,173505,160262,250072,252534,236817,88076,68793,87860,69865,79974,73766,75709,88693,85501,50435,63684,56036,83187,75047,80283,81297,82103,101256,69280,81618,81088,71832,71914,76664,64882,70359,59072,50531,51854,66491,219573,277162,224661
"7 h 48 min",,57583,62150,62169,86903,68133,74608,104537,112643,93143,172097,166096,156562,250416,244476,227755,90285,69719,83846,68322,72733,72869,65152,84519,74753,50562,57604,50631,79630,79903,79159,81395,82528,101320,67621,76402,73166,66139,68418,76399,66178,74709,57751,49944,50864,61442,215051,274989,222268
"7 h 50 min",,55338,59489,60522,81850,68370,75006,102198,117522,91131,174665,166722,156251,249907,249894,231138,85097,69680,86324,69231,75619,69477,69896,80864,80095,49631,58956,50570,77771,71543,77693,80393,82333,101418,68538,80180,75824,71825,71540,76018,64721,69333,57658,49450,51178,63319,216438,277340,220247
"7 h 52 min",,57031,60813,61695,86306,69394,75533,104258,118500,94029,178335,167578,158064,248216,248629,233090,88676,70573,87632,71928,78735,71949,73654,86270,82851,49550,61669,53913,80596,71395,76850,79511,81364,100842,70476,82690,81253,73888,73611,78053,66689,69939,59550,49150,51191,65252,215572,274439,218831
"7 h 54 min",,54438,58106,58586,83480,67038,74460,101358,119536,92063,171087,167297,153942,247515,249399,230794,84432,69419,84088,67823,76619,68393,69175,80483,78804,48902,58007,50707,80027,73758,78427,80347,82913,101286,67125,77961,73520,67361,71604,74859,64421,70408,55549,50039,50426,63552,217057,274700,221718
"7 h 56 min",,54209,63561,60515,80318,67219,72629,106139,112772,90227,170542,167351,156167,251750,246236,230312,88320,70992,88512,63951,75254,70448,66371,77938,81003,50895,56158,47741,84266,76678,78110,80970,82457,100996,70703,80613,72726,68492,69625,78122,68213,75857,57791,51538,51096,63280,217442,275127,220962
"7 h 58 min",,53697,57781,57827,84006,66972,72620,102104,120157,92247,172681,166961,153821,248051,250623,229845,83867,71676,84061,68073,76471,68964,70024,81469,80432,49535,57957,51015,79654,73071,79808,81102,83507,101383,67815,78989,75123,68899,72834,76039,66368,72419,56293,49620,50650,64445,217785,274700,221416
"8 h",,55293,61144,58853,83227,67216,72024,107421,124075,94396,172903,167077,156638,251516,250059,231756,86571,71570,86136,64293,78706,70264,73254,82532,85080,50091,58951,50181,84469,79170,79716,81173,84496,101501,69972,79888,78300,67659,71449,77582,68883,77214,57210,51894,50519,65250,219188,275457,223712
