time,protein_concentration,circuit,condition,param_set_idx,log_likelihood
76,36086.0581763682,star_antistar_1,Sense only,0,-0.4563706441691511
78,36516.80292623523,star_antistar_1,Sense only,0,-0.4563706441691511
80,36947.54769160789,star_antistar_1,Sense only,0,-0.4563706441691511
82,37378.292480955875,star_antistar_1,Sense only,0,-0.4563706441691511
84,37809.03737516051,star_antistar_1,Sense only,0,-0.4563706441691511
86,38239.78224771898,star_antistar_1,Sense only,0,-0.4563706441691511
88,38670.527069669,star_antistar_1,Sense only,0,-0.4563706441691511
90,39101.27193807122,star_antistar_1,Sense only,0,-0.4563706441691511
92,39532.016804340274,star_antistar_1,Sense only,0,-0.4563706441691511
94,39962.761677085306,star_antistar_1,Sense only,0,-0.4563706441691511
96,40393.50654819312,star_antistar_1,Sense only,0,-0.4563706441691511
98,40824.251433300014,star_antistar_1,Sense only,0,-0.4563706441691511
100,41254.99635043798,star_antistar_1,Sense only,0,-0.4563706441691511
0,20979.730467995745,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
2,21026.481212990948,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
4,21227.414596431314,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
6,21563.79474378424,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
8,21994.36444699974,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
10,22487.024519492476,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
12,23019.881167462794,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
14,23578.502646821536,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
16,24153.502642793144,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
18,24738.826597213156,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
20,25330.596803496293,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
22,25926.347542718988,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
24,26524.523197642986,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
26,27124.151046164618,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
28,27724.629300507946,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
30,28325.590449299863,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
32,28926.81358046434,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
34,29528.16880527075,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
36,30129.582251534925,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
38,30731.01260208669,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
40,31332.438350839675,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
42,31933.85047118125,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
44,32535.24623693037,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
46,33136.62567433291,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
48,33737.99029073195,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
50,34339.34238213446,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
52,34940.68433290537,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
54,35542.018302724755,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
56,36143.34590880688,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
58,36744.668853556745,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
60,37345.98743614544,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
62,37947.303008614996,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
64,38548.61634531291,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
66,39149.92845574656,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
68,39751.23965993269,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
70,40352.55022094719,star_antistar_1,Sense with 5 nM STAR,0,-1.9238215037882207
