time,Negative,Negative,Negative,To3 3 nM + Tr3 5 nM,To3 3 nM + Tr3 5 nM,To3 3 nM + Tr3 5 nM,To3 3 nM + Tr3 3 nM,To3 3 nM + Tr3 3 nM,To3 3 nM + Tr3 3 nM,To3 3 nM + Tr3 5 nM + aTr3 5 nM,To3 3 nM + Tr3 5 nM + aTr3 5 nM,To3 3 nM + Tr3 5 nM + aTr3 5 nM,To3 3 nM + Tr3 5 nM + aTr3 10 nM,To3 3 nM + Tr3 5 nM + aTr3 10 nM,To3 3 nM + Tr3 5 nM + aTr3 10 nM,To3 3 nM + Tr3 5 nM + aTr3 15 nM,To3 3 nM + Tr3 5 nM + aTr3 15 nM,To3 3 nM + Tr3 5 nM + aTr3 15 nM
1 h 50 min,17866,19210,19324,43603,43257,40434,18733,18341,18303,25253,28276,26324,24595,23357,18780,23677,21502,21679
1 h 52 min,18153,19326,19587,44331,44807,41466,18644,18143,18207,25461,28407,26683,24971,23456,18913,23656,21800,22127
1 h 54 min,18307,19385,19493,45055,45439,42372,18698,18309,18397,25316,28797,27235,24812,23939,18915,23632,21905,22161
1 h 56 min,17968,19257,19543,46005,46640,42633,18907,18312,18413,25720,29017,27270,25307,24199,18903,23796,21794,22433
1 h 58 min,17946,19225,19614,46751,47148,43788,19051,18371,18470,25708,29247,27769,25590,24363,19066,23932,22326,22413
2 h ,18080,19273,19419,47862,48025,44721,18876,18493,18760,26232,29518,27863,25826,24525,19122,23607,22229,22773
2 h 2 min,17980,19335,19477,48416,48868,45514,19067,18458,18417,26468,29954,28651,25416,24585,19199,23741,22492,22927
2 h 4 min,18077,19052,19502,49447,49792,46211,19092,18749,18526,26726,30367,28536,26057,24855,19144,23847,22679,23109
2 h 6 min,17962,19731,19414,50054,50092,46549,19069,18549,18538,27036,30879,28817,26037,24952,19258,23862,22912,22887
2 h 8 min,18125,19465,19561,51051,50723,47727,19003,18322,18829,27239,30556,29171,26664,25234,19407,23782,22856,23040
2 h 10 min,17849,19084,19332,51953,51927,48373,19078,18583,18708,27688,31505,29244,26680,25582,19189,23731,22890,23564
2 h 12 min,17823,19118,19455,52921,52760,49618,19169,18491,18540,27606,31834,29770,27026,25480,19825,23711,23049,23903
2 h 14 min,18004,19417,19389,53747,53425,49890,19089,18469,18917,28288,31655,30043,27028,25553,19482,23793,23137,23749
2 h 16 min,18014,19426,19617,54802,54584,50492,19193,18606,18779,28550,32234,30273,27388,25852,19883,23769,23465,24046
2 h 18 min,17648,19328,19333,55442,55447,52044,19301,18882,18855,28527,32574,30655,27203,25999,19962,23795,23521,24290
2 h 20 min,18040,19304,19300,56197,56443,52049,19156,18735,18965,28850,33132,30885,27543,26164,19853,23576,23636,24415
2 h 22 min,17801,19220,19403,57313,57010,53354,19312,18744,19139,29078,33584,31237,27928,26270,20019,23701,23563,24252
2 h 24 min,17658,19302,19304,57697,57832,54157,19476,18661,18755,29289,33524,31432,27895,26536,20181,23675,23830,25026
2 h 26 min,17643,19379,19408,58910,58631,54793,19552,19015,19055,29510,34009,32258,28140,26571,20326,23819,24078,24786
2 h 28 min,17724,19499,19532,59465,59351,55183,19178,19112,19167,29959,34460,32229,28494,27116,20121,23893,24031,24960
2 h 30 min,17924,19287,19202,60836,60120,56261,19589,19173,19195,30165,34702,32353,28785,26642,20247,23773,24097,25367
2 h 32 min,18055,19435,19596,60911,60943,56811,19918,19132,19185,30211,35163,32685,29263,27411,20469,23726,24506,25674
2 h 34 min,18196,19496,19360,62125,61998,57674,19568,19194,19275,30678,35523,32686,29167,27717,20415,23968,24550,25559
2 h 36 min,18031,19239,19176,63177,62493,58500,19681,19430,19393,31031,35820,33174,29482,27907,20680,23880,24831,25702
2 h 38 min,17747,19730,19455,63804,64139,59172,19750,19609,19519,30955,36004,33757,29959,27758,20668,23815,24913,25933
2 h 40 min,17819,19376,19729,64643,64880,60093,19753,19410,19362,31464,36634,33985,30011,27985,20832,24325,25032,26032
2 h 42 min,18122,19401,19480,65741,65088,60649,20085,19322,19452,31832,37280,34596,30013,28271,20906,23878,25142,26206
2 h 44 min,17794,19395,19589,66158,65514,61129,20115,19427,19646,31822,36641,34662,30047,28587,20658,23807,25283,26454
2 h 46 min,18036,19164,19744,66965,66649,62420,20250,19680,19927,32444,37699,35030,30323,28968,20718,23786,25164,26725
2 h 48 min,17838,19588,19557,67805,67523,62709,20240,19623,19887,32647,37836,35282,30525,28810,20957,24009,25648,26679
2 h 50 min,17663,19590,19623,68823,68161,63920,20354,19768,19972,32954,38384,35547,31098,29420,21195,24101,25466,26784
2 h 52 min,17991,19601,19620,69368,69117,64583,19771,19859,19834,33223,38628,35738,31178,29109,21159,23837,25950,27081
