time,Negative,Negative,Negative,STAR-Trigger 15 nM,STAR-Trigger 15 nM,STAR-Trigger 15 nM,STAR-Trigger 10 nM,STAR-Trigger 10 nM,STAR-Trigger 10 nM,STAR-Trigger 5 nM,STAR-Trigger 5 nM,STAR-Trigger 5 nM,STAR-Trigger 3 nM,STAR-Trigger 3 nM,STAR-Trigger 3 nM,STAR-Trigger 0 nM,STAR-Trigger 0 nM,STAR-Trigger 0 nM,Sense-aTrigger 15 nM,Sense-aTrigger 15 nM,Sense-aTrigger 15 nM,Sense-aTrigger 10 nM,Sense-aTrigger 10 nM,Sense-aTrigger 10 nM,Sense-aTrigger 5 nM,Sense-aTrigger 5 nM,Sense-aTrigger 5 nM,Sense-aTrigger 3 nM,Sense-aTrigger 3 nM,Sense-aTrigger 3 nM,Sense-aTrigger 0 nM,Sense-aTrigger 0 nM,Sense-aTrigger 0 nM
7 h 30 min,21989,25109,25216,69895,71059,70116,62877,64916,60306,59275,54688,53528,52456,50710,46978,40165,40746,42190,47109,49226,48936,48277,43743,47918,56193,59056,62385,60373,66401,66573,133556.5,141344.5,132314.5
7 h 32 min,22169,24773,25337,70194,70828,69992,62936,64691,60215,59359,54188,53469,52282,50734,47190,40503,40977,42257,47490,48825,49795,48228,43742,47563,56674,59449,62462,60420,66620,66513,134288,142659.5,133451.5
7 h 34 min,21871,24928,25257,69877,71328,70042,62839,65220,60458,59288,54564,53703,52796,50642,47158,40822,40815,42101,47822,49178,49594,48721,44388,47772,57128,59255,62487,60738,66910,66462,134893.5,142528,133433.5
7 h 36 min,22171,24804,24978,69995,71219,70697,63127,65014,60483,59770,54321,54278,52364,50939,47186,40615,40654,41987,47342,49582,49435,48331,44156,48045,56730,59508,62798,60593,66772,66787,134788.5,143670.5,134423.5
7 h 38 min,21904,24817,25142,70446,71784,70247,63032,65496,60924,59566,54778,54202,52611,50794,47440,41107,41052,42072,47929,49256,49716,48126,44428,48314,57473,59476,63227,61276,66696,67054,135243,143788.5,134990.5
7 h 40 min,21809,24813,25071,70334,71266,70539,63389,65810,60869,59495,54145,53814,52188,50892,47451,40561,41115,42177,47737,49360,49349,48730,44337,47808,57037,59631,62964,61463,67266,67353,135711.5,145254,136189
7 h 42 min,21862,24970,24944,70451,71902,70324,63467,65254,61007,59240,54509,54104,52789,50586,47504,40723,40931,42825,47636,49461,50401,48442,44521,48140,57444,59845,62884,61109,67818,67704,136220.5,145891.5,136176.5
7 h 44 min,21676,24783,25049,70843,71815,71021,63255,66276,61367,60223,54365,54159,53313,50978,47360,40960,40919,42589,47675,49226,49670,48861,44447,48292,57758,59799,63369,61468,67248,67387,136763.5,146210,136564
7 h 46 min,21904,24711,25194,70952,71859,71244,63726,66321,60983,60040,54457,54360,53064,50957,48121,40706,40986,42430,47983,49850,49997,49199,44496,47990,57834,59618,63623,61353,67747,67820,136874,146745,136942
7 h 48 min,21857,24954,24751,70863,72617,70968,63989,66375,61133,60571,54488,54720,52563,50952,47871,40491,41032,42354,48018,49662,49816,49155,44455,47879,57966,60337,63614,61117,68148,67889,137677,147443,137689
7 h 50 min,21820,25231,25068,71160,72050,70815,64086,66053,61269,59988,54897,54134,52893,50763,47527,40685,41052,43016,47784,49855,50215,48946,44811,47754,58040,60331,63870,62153,67668,67940,137903,148154,138287.5
7 h 52 min,21929,24915,24959,71230,72199,71063,64551,66048,61128,60415,54443,54180,52997,50943,47733,40710,41307,42928,47874,49879,49997,49270,45011,48066,58741,60354,64115,61961,68684,67882,137828,148029,138927
7 h 54 min,21878,25066,24944,71067,72359,70945,64172,66557,61169,60738,55443,54236,53104,50918,48224,40784,41174,43098,47742,49716,50300,49308,44780,47670,58233,60469,63984,62124,68639,68474,138171.5,148575,139636
7 h 56 min,21929,25267,24986,71366,72552,71467,64526,66788,61260,60032,54932,54808,52941,51508,47870,41050,40986,42826,48395,50115,50087,49147,44961,48194,58638,60875,64414,62102,68643,68736,139695.5,149455,139745.5
7 h 58 min,21517,24851,24772,71116,73105,71528,64756,66962,61059,60423,55228,54603,53017,50782,47935,40940,41315,42994,48078,49828,50321,49361,45097,47887,58646,60457,64712,63090,69085,68698,139066.5,149778.5,140310.5
8,21741,25059,24975,71033,73150,71921,64953,66791,61431,60601,55017,54577,52884,50882,48298,41168,41326,43143,48343,50204,50559,49337,45246,47729,58875,60788,64506,62775,68756,68766,140059,150634.5,140924
8 h 2 min,21736,25275,24648,71111,73513,72130,65586,67886,62059,60899,54827,54443,53373,51141,48126,40612,40999,42603,48299,49708,50826,49402,45038,47720,58993,61071,64857,62857,69281,68976,139999.5,150799,141376
8 h 4 min,21393,25206,24716,71325,73432,72087,65779,67228,61881,60900,55002,55159,53361,51046,47860,41230,41073,43133,48586,50015,50404,50082,44973,47699,58986,60874,65649,63139,69630,69374,140753.5,151613.5,142467
8 h 6 min,21585,25063,24925,71421,73271,72091,65406,67806,61448,60885,55579,54832,53524,51323,48071,40871,41125,42875,48810,50538,50589,49617,45392,47932,58772,61650,65197,63189,69675,69117,140419,151759.5,142642
8 h 8 min,21459,24922,24760,71710,73168,72088,65883,67888,62112,60992,55088,54431,53601,50566,48129,40663,41244,43172,48815,50412,50961,49986,45495,47924,59021,61645,65689,63472,70473,69624,140755.5,152145.5,143197
8 h 10 min,21271,25146,24718,71636,73811,72147,65606,67879,61635,61360,55641,54985,52951,50641,48331,40754,41115,43223,48855,50273,50530,49624,45205,47717,58971,61554,65506,63814,70438,69442,141165,152615,143344.5
8 h 12 min,21420,25038,24516,71577,73434,72036,66438,68225,61502,60943,55619,54654,53355,50788,48288,40776,41384,43375,48661,50291,50858,50082,45674,47573,59845,61847,66172,63652,70382,69502,141895.5,153449.5,143890.5
8 h 14 min,21598,24881,24446,71438,73974,72409,65975,67909,61909,61277,55693,55282,53281,50850,48118,40684,41533,43304,49167,50248,50621,50155,45849,47563,59297,62019,65926,64096,70157,70066,141878,153947.5,144176
8 h 16 min,21468,25151,24396,71979,73498,72247,65979,68073,61329,61552,55156,54772,53367,50356,48083,40587,41683,42948,48912,50409,51397,49890,45809,48011,59882,62413,65699,64025,70555,70003,141707.5,154197,144614.5
8 h 18 min,21283,25181,24297,71231,74229,72424,66383,68578,61714,61103,55380,55321,53435,50895,47867,40548,40990,43586,48906,50124,50954,50077,45783,47699,59771,61950,66624,64199,70548,69597,142237.5,154353,144861
8 h 20 min,21388,24718,24211,71883,74169,72043,66180,68694,61643,61167,55588,54623,53078,50800,48673,40852,41187,43490,49330,50642,51102,50858,45734,47446,59708,62140,66289,64691,70927,69620,142465,154637.5,145132
8 h 22 min,21565,25109,24168,72166,74620,73167,66248,69011,61695,61330,55455,54616,53270,50685,48142,40432,41139,43529,49129,50568,51590,50651,45865,47494,59946,62753,66516,64635,70940,70374,142573.5,155061,145234
8 h 24 min,21454,25009,24302,72289,74703,72572,66446,69014,62004,61697,55228,55127,53356,50796,48644,40861,41075,43936,49289,51021,51300,50318,45949,47546,59740,62999,66187,64614,71120,69618,143138.5,155252,145879.5
8 h 26 min,21107,25134,24062,71140,74302,72253,66805,68840,61473,62262,55480,54854,53313,50683,48389,40570,41274,43811,49373,50718,51568,50435,46241,47336,60126,62503,67158,64643,71908,70273,143161.5,155667,146027
8 h 28 min,21291,24955,23987,71711,74639,72710,67093,69260,61928,61419,55093,55035,53294,50579,48682,40660,40806,43877,49304,50660,51140,50488,45849,47372,60376,62784,67050,65011,71340,69917,143218,156007.5,146585
8 h 30 min,21441,25028,24087,72083,74394,73078,67175,69430,61555,61424,55609,54887,53523,50225,48739,40656,41176,43670,50173,50760,51607,50635,46075,47032,60415,63263,67565,65527,71676,70380,143117.5,155817,147129.5
8 h 32 min,21200,24717,24038,72074,74751,72606,67408,69193,62140,61327,55648,55030,53668,50633,48211,40216,40774,43624,49292,50986,51354,50674,46122,47410,60301,63731,67012,65804,71326,70607,143739.5,156314.5,146970.5
8 h 34 min,21111,24880,24128,71656,75224,72554,67428,69635,61769,62019,54858,55014,53214,50345,48207,40660,41344,44002,49430,51008,51352,50800,46239,47140,60456,63273,67571,65558,71404,70544,143539,157294,147043.5
8 h 36 min,21168,24888,23894,72068,75220,73122,67275,69622,61793,61672,55376,55286,53578,50599,48462,40338,41080,43755,49463,50728,51463,50855,46425,47307,60580,63234,67571,65930,72057,70450,143571,157510.5,147541.5
8 h 38 min,21565,24953,24141,72176,75604,72559,67712,69675,61660,61968,55398,55299,53620,50293,48954,40327,41081,43842,49825,50893,51458,50888,46135,47387,61037,63397,67773,66209,72055,70544,144039.5,157241,147193
8 h 40 min,21326,24745,23766,71297,75206,72963,67589,70329,61527,61895,55147,54612,53066,49893,48261,40584,41071,44531,50009,51182,51565,51427,46579,47143,60992,63713,68320,65974,71362,70466,143997,157531,147673.5
8 h 42 min,21290,25093,24042,71434,75403,72958,67868,69737,61296,62282,55525,55114,53897,50034,47881,40243,40965,43946,49685,51100,51710,51211,46575,46879,61404,63708,67434,66258,72278,70158,143984.5,157752.5,147797.5
8 h 44 min,21117,25036,23569,72165,75439,72703,68171,70290,61688,62127,55256,54912,52743,50497,48171,40136,40947,44367,49431,51642,52009,51136,46516,46927,61502,63503,68527,66283,72034,70592,144576.5,157888.5,148440
8 h 46 min,21132,24880,23786,71346,75724,72472,68066,70700,61544,62044,54762,54648,53439,50247,48170,40320,40901,44260,50055,51522,51876,51190,46746,46936,61268,63795,68520,66590,72458,70461,144341,157941,148356.5
8 h 48 min,21166,24998,23858,71307,75190,72745,68047,70475,61540,62024,55150,54701,53245,49853,48424,40216,40536,43817,50423,51192,51750,51795,46574,46750,61875,63852,68825,66643,72551,70601,144362,158388.5,148794
8 h 50 min,21249,24549,23923,71672,74907,73303,68350,70119,61352,61755,54647,55077,53301,50514,48251,40163,40763,44501,49984,50885,52166,51696,46962,46970,60862,63682,68644,66438,72097,71103,144555.5,159083,148806.5
8 h 52 min,21290,24673,23593,71297,75496,72556,68100,70815,61775,61959,55145,54811,53440,50139,48301,40262,40534,44533,50140,51506,52161,51292,46829,47113,61541,63891,68520,66802,72172,70776,144655.5,158556.5,148786
8 h 54 min,21354,24664,23766,71327,75599,72889,68453,71282,61128,62124,54932,54771,53071,49707,48531,40347,40615,44232,50118,51689,52165,51787,46952,46915,61688,64453,68472,66379,72181,70387,144282.5,158656,148655
8 h 56 min,20966,24583,23530,71556,76129,73129,68759,70821,61137,62432,54696,55032,53159,50132,48086,39988,40973,44470,50014,51275,51977,51150,47157,47358,61495,64513,69445,67037,72744,70782,144462.5,159102,149269.5
8 h 58 min,21217,24567,23436,71104,75549,73229,68890,71378,61363,62212,54630,55019,53601,49705,48069,39901,40595,44473,50104,51644,52103,51838,46979,46967,61635,64485,69217,67253,72612,70763,144265.5,158449,149069.5
9,20954,24443,23638,71480,76246,73230,69032,71208,61544,62041,55006,54863,53522,49958,48142,39827,40231,44465,50480,51752,52457,51821,47332,47174,62510,64674,69901,67301,72700,70780,144469.5,159218,149036.5
