time,Negative,Negative,Negative,STAR-Trigger 15 nM,STAR-Trigger 15 nM,STAR-Trigger 15 nM,STAR-Trigger 10 nM,STAR-Trigger 10 nM,STAR-Trigger 10 nM,STAR-Trigger 5 nM,STAR-Trigger 5 nM,STAR-Trigger 5 nM,STAR-Trigger 3 nM,STAR-Trigger 3 nM,STAR-Trigger 3 nM,STAR-Trigger 0 nM,STAR-Trigger 0 nM,STAR-Trigger 0 nM,Sense-aTrigger 15 nM,Sense-aTrigger 15 nM,Sense-aTrigger 15 nM,Sense-aTrigger 10 nM,Sense-aTrigger 10 nM,Sense-aTrigger 10 nM,Sense-aTrigger 5 nM,Sense-aTrigger 5 nM,Sense-aTrigger 5 nM,Sense-aTrigger 3 nM,Sense-aTrigger 3 nM,Sense-aTrigger 3 nM,Sense-aTrigger 0 nM,Sense-aTrigger 0 nM,Sense-aTrigger 0 nM
1 h 36 min,15697,16384,16251,22406,22178,22814,20867,21133,20456,22552,21458,21176,21334,20805,19372,18736,18727,18038,19276,20049,20746,19189,18405,20266,19445,20139,20730,19021,21034,21120,24841.5,25834,23931.5
1 h 38 min,15998,16294,16628,22623,22482,23176,21115,21199,20877,22566,21706,21176,21444,20933,19561,19066,18939,18132,19496,20470,21050,19269,18306,20613,19693,20711,20775,19250,21120,21493,25083,26476.5,24521
1 h 40 min,15650,16396,16460,22903,23075,23513,21150,21476,21195,22838,21648,21601,21732,21192,19541,18894,18854,18151,19825,20556,20938,19482,18524,20563,19747,20749,21295,19172,21053,21501,25673.5,26722.5,24885.5
1 h 42 min,16019,16413,16499,22934,23291,23559,21283,21565,21437,22991,21843,21478,21813,21191,19707,18963,19223,18415,20159,20517,21387,19295,18661,20505,19933,20855,21314,19651,21650,21783,26063,27092.5,25575.5
1 h 44 min,15765,16477,16380,23265,23219,23713,21745,22031,21531,23209,22142,21859,21804,21478,19854,19149,19266,18490,19995,20528,21462,19788,18920,20762,19908,21059,21751,19673,21667,21939,26425.5,27478,25604.5
1 h 46 min,16179,16336,16804,23558,23678,24375,22003,22260,21617,23694,22238,21989,22058,21810,20016,19220,19419,18825,20208,21023,21535,19702,18877,20910,20285,21451,21782,19901,21981,22155,26958,28004,26165
1 h 48 min,15912,16470,16596,23809,24088,24486,22071,22268,21831,23726,22748,22360,22231,21650,20442,19424,19184,18530,20385,21393,21976,19839,19048,21349,20390,21412,22075,20290,22402,22229,27086,28616.5,26499.5
1 h 50 min,16057,17000,16730,24095,24083,25228,22428,22179,21908,23980,22722,22191,22728,21892,20402,19677,19799,18881,20650,21380,21739,20027,19395,21435,20584,21605,22140,20319,22228,22791,27992,28911.5,27039
1 h 52 min,16111,16505,17049,24260,24314,25240,22575,22838,22219,24223,23260,22787,22799,22485,20813,19962,19857,19024,20778,21537,22037,20336,19363,21308,20731,21631,22333,20407,22672,22707,28159.5,29456,27348
1 h 54 min,16008,16800,16973,24615,24691,25420,23002,23131,22327,24516,23213,22969,22907,22300,20753,20059,19970,19145,20868,21867,22439,20608,19497,21561,21030,22195,22330,20794,22720,22674,28643,29917,27886.5
