time,15 nM,15 nM,15 nM,12 nM,12 nM,12 nM,10 nM,10 nM,10 nM,7 nM,7 nM,7 nM,5 nM,5 nM,5 nM,3 nM,3 nM,3 nM,0 nM,0 nM,0 nM,Negative,Negative,Negative
2 h 4 min,26638,24303,27680,25655,26534,26028,25132,22739,21905,20755,20648,21069,19994,19886,20166,17917,18850,19784,17158,18032,17914,16484,17237,17327
2 h 6 min,26666,24626,27648,25520,26774,26405,25320,22809,22488,21171,21018,21189,20084,19886,20023,17951,19108,19992,17405,17944,18033,16262,17131,17125
2 h 8 min,26912,24723,28181,25846,27086,27064,25194,23137,22279,21378,21303,21680,20125,19747,20422,18081,19526,20327,17427,18035,17880,16537,17288,17291
2 h 10 min,27505,25541,28360,26225,27470,27109,25867,23177,22459,21349,21195,21695,20727,20073,20572,18291,19508,20089,17038,18212,18086,16624,17415,17486
2 h 12 min,27667,25409,28703,26401,27828,27386,25667,23253,22683,21270,21421,21708,20610,19998,20467,18157,19554,20147,17223,18076,18179,16587,17408,17130
2 h 14 min,28112,25891,28644,26921,27988,27514,26361,23757,22930,21799,21222,22168,20700,20372,20672,18410,19818,20718,17432,18327,17986,16609,17328,17466
2 h 16 min,28527,25796,29340,26847,28335,27891,26113,23939,23300,21841,21621,22415,20540,20435,21077,18481,19696,20624,17235,18387,17873,16657,17175,17526
2 h 18 min,28748,26217,29244,26869,28830,28387,26673,24306,23499,22152,21644,22251,20893,20548,21058,18655,19714,20771,17514,18394,18134,16727,17403,17395
2 h 20 min,29136,26497,29622,27525,28675,28245,26939,24281,23431,21972,22048,22514,21034,20848,20913,18755,19601,20840,17626,18196,18308,16904,17658,17822
2 h 22 min,29169,26537,30260,27505,29474,28637,27164,24696,23483,22163,22030,22568,20974,20993,21434,18569,19904,20852,18038,18471,18400,16662,17303,17728
2 h 24 min,29711,26887,30517,28112,29672,29115,27196,25001,24207,22384,22287,22338,21174,21015,21619,18646,19685,21163,17526,18581,18336,16674,17477,17808
2 h 26 min,30004,27184,31033,28397,30023,29423,27336,25083,24319,22627,22476,22828,21408,21121,21811,19035,20170,20878,17958,18554,18462,17066,17379,17979
2 h 28 min,30374,27428,31617,28726,29946,29702,27348,25358,24448,22742,22553,23173,21744,21264,21516,18827,20125,21312,17492,18698,18546,16725,17602,18041
2 h 30 min,30914,27761,31501,29062,30211,30152,28030,25779,24805,22787,22482,23174,21572,21500,21877,19190,20193,21278,18010,18740,18683,16800,17839,17845
2 h 32 min,31117,28076,31530,29298,30578,30371,28134,25702,24554,23183,23017,23261,21831,21318,21794,19027,20127,21637,17895,18866,18486,17287,17805,18179
2 h 34 min,31650,28343,31760,29336,31066,30598,28201,25930,25245,23125,22830,23314,21740,21424,22180,19296,20315,21276,17462,18920,18465,17118,17815,17960
2 h 36 min,31719,28637,32402,29456,31525,31185,28239,26374,25496,23386,23009,23442,22162,21803,22017,19348,20442,21327,18066,18575,18454,17245,17842,18045
2 h 38 min,32093,29024,33113,30222,31642,31045,28958,26691,25545,23565,23217,23693,22120,21912,22225,19121,20304,21365,17996,18883,18873,17205,17928,17982
2 h 40 min,32102,29279,32844,30201,31915,31645,28974,26554,25902,23544,23437,23718,22189,22091,22073,19399,20620,21788,18122,19068,18821,17035,17849,18044
2 h 42 min,32763,29450,33665,30357,32379,31679,29519,26492,26153,23799,23503,24249,22377,22188,22332,19524,20658,21597,18373,18924,18923,17157,18157,18163
2 h 44 min,32943,29899,33995,30932,32931,32159,29223,26969,25994,23789,23848,24387,22422,22383,22390,19574,20982,21989,18124,18939,19092,17133,18105,18384
2 h 46 min,32979,30126,34131,30735,32928,32420,29571,27096,26428,24213,23619,24271,22788,22284,22698,19554,20925,22235,18050,19005,18855,17082,18157,18533
2 h 48 min,33754,30424,34613,31525,33431,32816,29681,27031,26430,24311,23995,24415,22819,22682,23006,19918,21069,22042,18223,18986,18997,17362,17940,18269
2 h 50 min,34329,30945,34657,31829,33684,33318,30112,27712,26761,24469,24325,24708,22964,23343,22903,19975,21119,22447,18141,18991,18997,17310,18088,18465
2 h 52 min,34778,31114,35357,31832,34007,34001,30664,27860,26834,24496,24311,24895,23249,23058,23154,20037,21242,22510,18111,19480,19143,17438,18300,18700
2 h 54 min,34872,31390,35497,32747,33982,34303,30380,27717,27406,25019,24482,24868,22917,22873,23556,19784,21149,22386,18501,19249,19263,17514,18190,18390
2 h 56 min,35483,31533,35720,32695,34853,34258,30735,28228,27632,24897,24784,24995,23562,23200,23552,19943,21223,22513,18441,19052,19375,17650,18467,18903
2 h 58 min,35856,32026,36590,32951,35004,34394,31011,28534,27773,24952,24875,25505,23377,23389,23548,20244,21570,22615,18407,19334,19263,17493,18337,18894
3h,36146,32199,36853,33110,35156,34998,31620,28462,27685,25097,25074,25462,23826,23456,23717,20507,21556,22668,18597,19206,19330,17578,18461,18794
3 h 2 min,36580,32581,37225,33640,35644,35028,31801,28821,28104,25450,25469,25518,23491,23800,23995,20463,21424,22955,18695,19320,19149,17820,18472,18861
3 h 4 min,36785,33028,37917,34048,35963,35917,31552,29035,28190,25834,25650,25738,23877,23810,24264,20637,21490,22920,18801,19737,19462,17739,18672,18953
3 h 6 min,37190,32980,37795,34374,36270,35899,32093,29503,28497,25852,25339,25897,24231,23755,24032,20856,21863,22822,18600,19653,19288,17659,18556,18960
3 h 8 min,37843,33554,37888,34689,36873,36330,32292,29575,28889,26140,26090,26111,24252,23899,24320,20538,21874,23097,18847,19395,19702,17860,18810,19026
3 h 10 min,38013,34185,38609,35126,37116,36673,32608,30007,29259,26037,26152,26395,24356,24291,24200,20815,21858,23013,18961,19595,19613,18156,18605,18962
3 h 12 min,38663,34118,38741,35461,37689,37093,32893,30122,29450,26595,26287,26510,24666,24335,24795,21093,22058,23292,18989,19627,19642,17876,18847,19187
3 h 14 min,38687,34617,39537,35315,37592,37057,33528,30321,29425,26244,26298,26549,24375,24628,24690,20984,22230,23470,18936,19883,19720,17869,18754,19461
3 h 16 min,39259,35115,39995,36015,38046,37396,33231,30191,30025,26783,26570,27117,24761,24762,24876,21240,22204,23667,19168,19757,19831,18113,18904,18989
3 h 18 min,39516,35275,40227,36062,38602,38334,33572,31135,29815,27084,26867,27053,25043,24706,24931,21120,22452,23532,19069,20037,19746,18043,18746,19590
3 h 20 min,39723,35459,40548,36450,39031,38383,34035,31073,30452,27240,26860,27180,25068,25121,25333,21227,22379,23664,18956,19924,19927,18015,18860,19217
