time,15 nM,15 nM,15 nM,12 nM,12 nM,12 nM,10 nM,10 nM,10 nM,7 nM,7 nM,7 nM,5 nM,5 nM,5 nM,3 nM,3 nM,3 nM,0 nM,0 nM,0 nM,Negative,Negative,Negative
2 h 36 min,41479,41964,45303,43555,40562,41223,39967,39773,35330,33969,34938,33967,28598,28452,27359,23338,27967,27011,22932,24492,22555,18286,18104,18818
2 h 38 min,41910,42583,45890,43933,40694,41563,40807,40650,36069,34659,34989,34284,28861,28585,28072,23479,28346,27421,22703,24570,22588,18204,17996,19025
2 h 40 min,42535,42555,46122,44065,41186,42217,41045,40877,36293,35067,35438,34663,29203,28972,27908,23895,28688,27555,22982,24661,22742,18309,18323,18933
2 h 42 min,42957,43077,46887,44622,41860,42726,41807,41599,36127,35134,35908,34819,29300,29120,28269,23889,28572,27739,23118,24752,22527,18617,18380,19129
2 h 44 min,43295,43554,47311,45781,42284,43163,42628,41946,37207,35578,36624,35546,29626,29055,28422,23949,29234,27883,23233,24755,23052,18414,18296,19143
2 h 46 min,43969,44222,47768,46165,43058,43547,42670,42449,37621,36115,37269,35465,29956,29664,28814,23981,29600,28037,23314,24710,22756,18413,18144,19339
2 h 48 min,44272,44016,48357,46417,43541,44119,43286,42712,37877,36459,38035,35954,30220,29653,28914,24220,29435,28808,23222,25369,23017,18342,18690,19390
2 h 50 min,44876,45028,48391,47056,43853,44722,43209,43434,37998,36983,38257,36041,30181,29858,28958,24592,29346,28450,23512,25290,23403,18721,18409,19248
2 h 52 min,45551,45042,49431,47523,44826,45234,43993,44397,38975,37175,38890,36971,31051,30051,29361,24421,29642,28321,23631,25292,23309,18835,18731,19295
2 h 54 min,45930,45861,50105,48214,45063,45422,44805,44461,39194,37429,39282,37120,30522,29983,29430,24305,29984,28933,23935,25631,23485,18734,18654,19296
2 h 56 min,46245,46210,50329,48370,45260,46375,45054,45131,39773,38109,39484,37669,31170,30827,29910,24787,29974,28841,24164,25601,23612,18883,18722,19502
2 h 58 min,46701,46832,51035,48846,45999,46749,45524,45790,39932,38515,40245,37539,30767,30900,30034,25011,30305,29064,23731,25903,23712,19036,18902,19339
3,47458,47293,51504,49683,46541,46634,45896,46109,40662,38555,40260,37870,31731,30783,30522,24909,30429,29363,24164,25923,23666,19034,18627,19878
3 h 2 min,47485,47626,51512,50091,47343,47310,46515,46545,40874,39167,41390,38682,31731,31212,30280,25208,30942,29771,24172,26142,23900,18838,18815,19558
3 h 4 min,48340,47710,52403,50565,47451,48086,46887,46982,41419,39807,41629,38850,32103,31285,30763,25183,30776,30068,24213,26270,23949,18901,18830,19765
3 h 6 min,48808,48428,52318,51182,48206,48348,47593,47194,41198,39791,42273,39515,32088,31908,30975,25442,31192,30176,24049,26227,23973,19144,18789,19762
3 h 8 min,48997,48851,53466,51393,48485,48776,48528,48019,42349,40094,42615,39740,32830,31864,31465,25330,31364,30253,24915,26720,24333,19372,19146,19687
3 h 10 min,49285,49170,53156,52266,48774,49776,48454,48611,42303,40720,43389,40313,32743,32450,31740,25397,31569,30724,24784,26446,24559,19330,18984,19755
3 h 12 min,49920,49842,53361,52717,49783,50315,49250,49116,42932,41268,44146,40614,32986,32203,31482,25522,31747,30547,24838,26690,24794,18884,19400,19889
3 h 14 min,50107,50208,54024,53219,49704,50104,49569,49571,43682,41271,44823,40544,33665,32915,31953,25828,31710,31045,25206,26939,24799,19515,19331,20049
3 h 16 min,50436,50736,55117,53354,50716,50572,50029,49786,43913,41839,45448,41475,33261,32788,31938,25824,32144,31211,24894,26911,24656,19294,19424,19806
3 h 18 min,50679,51188,55542,53474,50908,51074,50312,50847,44144,42532,45429,41483,33915,32992,32665,26233,32342,31280,25160,27250,24666,19484,19337,20195
3 h 20 min,51545,51591,55919,54763,51563,51344,51091,51373,44434,42190,46440,41503,34345,33504,32810,26090,32334,31498,25201,27568,25106,19456,19355,20091
3 h 22 min,52085,51658,55923,54407,51902,52284,51201,51425,44881,42854,46687,42151,34130,33641,33031,26294,32276,31460,25347,27475,25475,19409,19309,20174
3 h 24 min,51920,52568,56738,55471,52290,52271,51722,51479,45608,43523,47288,42629,34765,33876,33231,26346,32858,31479,25609,27690,24995,19773,19624,20184
3 h 26 min,52894,52564,56682,55834,52760,52674,52895,52121,45864,43643,48053,43236,34788,34052,33676,26901,33266,31785,25855,27568,25428,19719,19711,20309
3 h 28 min,53305,52742,57352,56025,53136,53233,52960,52917,46547,44254,48606,43641,34886,34166,33775,26798,33441,32240,25910,27831,25454,19796,19822,20227
3 h 30 min,53377,53199,57299,56923,53564,53532,53496,53092,46572,44087,48538,44179,35331,34573,33416,26908,33511,32170,26085,27820,25427,19793,19600,20489
3 h 32 min,53857,53639,58148,56803,53231,54057,53976,53616,47314,44861,49490,45008,35568,34940,34245,26993,34092,32052,25968,28257,25842,19711,19894,20382
3 h 34 min,54309,54501,58651,57229,54673,54887,54045,54351,47350,44902,50145,45216,35760,34948,34365,27152,34010,32422,25845,28422,25619,19858,19487,20528
3 h 36 min,54820,54505,59383,57914,54842,55153,54823,54761,47363,45701,50735,44981,36129,35098,34420,27318,34674,33060,26028,28363,26050,19833,19806,20414
3 h 38 min,55007,55024,59344,58749,55290,55414,55013,55434,47798,46357,51251,46110,36074,35502,34844,27612,34447,32983,26468,28610,26083,19774,20066,20502
3 h 40 min,55865,54823,59599,59545,55633,55686,55728,55823,48240,46414,51901,46507,36538,35705,34953,27460,34332,33210,26409,28520,26108,20203,20051,20619
3 h 42 min,56337,55263,60369,59191,56418,56356,56240,56395,48812,46936,52408,47045,36792,35927,35094,27795,34307,33437,26734,28646,26450,20060,19870,20751
3 h 44 min,56800,56451,60051,59965,56839,56564,56618,56621,49384,47402,52716,47052,37028,36313,35375,27676,35074,33822,26764,28729,25979,20200,19899,20820
3 h 46 min,56841,56248,61199,60460,57612,57121,56590,56950,49578,47313,53923,47571,37439,36281,35624,28180,34852,33871,26775,28791,26491,20005,20234,20875
3 h 48 min,57466,57052,61394,60793,57644,57756,57236,57556,50293,48122,53580,48114,37293,37083,36025,28412,35162,33943,26979,28938,26672,20319,19876,20759
3 h 50 min,57675,57777,61804,61612,57514,57984,57711,58185,50526,47902,54023,48427,38088,36562,35889,27882,35595,33906,26864,29066,27016,20264,19971,21002
3 h 52 min,57642,57321,62353,62233,58502,58235,58252,58353,50699,48513,54348,49212,38305,37434,36258,28946,35548,34386,27307,29462,26881,20170,20236,20943
3 h 54 min,58706,57553,63175,62273,58657,59150,58903,59307,51112,49063,55306,49877,38720,38115,36535,28911,35772,34461,27342,29626,26822,20272,20320,20970
3 h 56 min,58727,57818,62863,63057,59198,59271,59604,59891,51607,48909,55728,50188,39108,37646,36554,28693,35968,34712,27268,29580,27429,20392,20430,21255
3 h 58 min,59135,57935,63363,63883,59731,59967,59384,59471,52353,49696,56681,50667,38706,38215,36938,29144,36389,34484,27631,29966,27103,20403,20222,21044
4,59382,58389,63833,63706,60288,60420,60460,60800,52717,50337,56975,50773,39119,38198,37499,29159,36188,35159,27493,29812,27026,20464,20413,21096
4 h 2 min,59770,59057,64207,64500,60644,60440,60925,60843,53200,50135,57503,51468,39721,38554,37649,28901,36665,35382,27543,30174,27389,20465,20339,21070
4 h 4 min,60379,59519,63956,64977,61374,60754,61277,60971,53477,51155,58018,51816,39865,38662,37476,29991,37154,35288,27880,30180,27299,20890,20533,21283
4 h 6 min,59894,60031,64736,65373,62086,61550,61239,61480,54248,51307,58418,51999,40274,39124,37979,29576,37168,35561,27901,30329,27260,20830,20371,21055
4 h 8 min,60713,59656,65009,66122,62138,62150,62289,61903,54842,51543,58991,53048,40676,39193,38366,29515,37188,36005,28089,30222,27429,20757,20744,21228
4 h 10 min,61051,60088,65748,66842,62399,62329,62103,62349,55183,52126,59386,53274,40946,39944,38511,29771,37598,35651,28137,30462,27750,20759,20553,21278
