time,To3 5 + Tr3 5,To3 5 + Tr3 5,To3 5 + Tr3 5,To3 5 + Tr3 4,To3 5 + Tr3 4,To3 5 + Tr3 4,To3 5 + Tr3 3,To3 5 + Tr3 3,To3 5 + Tr3 3,To3 5 + Tr3 2,To3 5 + Tr3 2,To3 5 + Tr3 2,To3 5 + Tr3 1,To3 5 + Tr3 1,To3 5 + Tr3 1,To3 5,To3 5,To3 5,Negative,Negative,Negative
3 h 32 min,108566.5,107689,107555,93771,95400.5,91413,85492.5,89101,90785.5,63072,62285.5,67165.5,64961,59450,72516.5,31061,26404,26089,19711,19894,20382
3 h 34 min,109750.5,108916,108798.5,94602,96225.5,92413,86600.5,89312.5,91697,63652,62660.5,68046,65454.5,60373,72925,31321,26258,26330,19858,19487,20528
3 h 36 min,110302.5,109757,109843,96114,96755.5,93502.5,87570,89759.5,92773,64371.5,63135,68595.5,66203.5,61166,73450,31932,26230,26115,19833,19806,20414
3 h 38 min,111510,111196,110700.5,96783.5,98138.5,94298.5,88722,89870,93003.5,64147,64013.5,68823,66735,61807.5,74319,31953,26493,26330,19774,20066,20502
3 h 40 min,112039,111769,112236.5,97457.5,98940.5,95392,89744.5,90872.5,94150,65064.5,64216,68865.5,67703,62234,74916.5,32326,26853,26507,20203,20051,20619
3 h 42 min,112948,112864.5,112931,98588.5,99547,96506,90684.5,90898.5,94662.5,65365,65035.5,69504.5,68028,63014.5,75239.5,32451,26705,26714,20060,19870,20751
3 h 44 min,114226,114088.5,113916.5,99174.5,100700,96597.5,90822.5,91912,95317.5,65717.5,65096,70361,68675.5,63419.5,75756.5,32713,26857,26864,20200,19899,20820
3 h 46 min,115432.5,115538.5,115411,100470,101549.5,97780.5,92269.5,91828.5,95687.5,66832.5,65951.5,71056,69384.5,63639.5,76981.5,32742,27187,26946,20005,20234,20875
3 h 48 min,116629,116135,115965.5,101030,102892,98810,92920.5,92368.5,96981,66998.5,66734,71335,69597.5,66006,77204.5,33004,27355,27159,20319,19876,20759
3 h 50 min,116911.5,117710.5,117500.5,102425,103555.5,99240.5,93823,92587,97531,67677,66668.5,72295,70560.5,66885.5,77562,33049,27314,27211,20264,19971,21002
3 h 52 min,118931,117944.5,119543.5,103228,104361,100707,94900,92666.5,98175.5,68124,67053.5,72778.5,71107,67267,78426.5,33098,27528,26908,20170,20236,20943
3 h 54 min,119523.5,119282.5,119962.5,103942,105690.5,101735,95485.5,93202.5,98695,68646.5,67932,73632.5,71845.5,67844.5,78880.5,33409,27399,27501,20272,20320,20970
3 h 56 min,120924.5,121625,121113,104992,106343,102362,96477.5,93837.5,99357.5,69392,68444,74754,72399,67938,79620.5,33724,27724,27551,20392,20430,21255
3 h 58 min,122350,122408,122141.5,105795,106965,103332.5,97511.5,93600,99642.5,70071.5,68685,74775,72964.5,68784.5,79850,33757,27511,27442,20403,20222,21044
4 h ,123300,123544.5,123214.5,106784.5,108755,104337.5,98091,94231.5,100603,70153.5,69810.5,75456.5,73390.5,69096,80135,34289,28105,27780,20464,20413,21096
4 h 2 min,124791.5,124250,124365,108047,109349,105277,99261.5,94135,101005.5,70766.5,69606,76162,74101,69625.5,80863.5,34109,28024,27695,20465,20339,21070
4 h 4 min,125676,125850,125553,108627.5,110647.5,106066,100007.5,94235.5,101260.5,71565.5,70580,76421.5,74783.5,70209.5,81241.5,34491,27897,28080,20890,20533,21283
4 h 6 min,126825,126615.5,126988,109919.5,111164.5,106388,101011.5,94364.5,101786,72298.5,71166.5,77101.5,75652,70434.5,81461.5,34431,28062,28234,20830,20371,21055
4 h 8 min,127817,127600.5,127508.5,110235.5,112327.5,107777.5,101769.5,94724,102355,73100,71515.5,77652.5,76321,71189,82081,34523,28079,27918,20757,20744,21228
4 h 10 min,129327.5,128732,128363,111165,113157.5,108124,102831.5,94827.5,102576,73398,72260,78311,77002.5,71972.5,82475,34801,28334,28049,20759,20553,21278
4 h 12 min,130637.5,129890.5,129476,111967,114082.5,108966,103846.5,95716.5,103252.5,73906.5,72300,78678.5,77623.5,72143.5,82788.5,35180,28293,28172,21190,20960,21602
4 h 14 min,131524,131056,131039.5,112912,114939,109488,104206,95503.5,104298.5,74782.5,72728.5,79448,78051.5,72795,83252.5,35144,28366,28225,21220,20973,21615
4 h 16 min,132194,132125.5,131721.5,113906,115592.5,110759,105540,95596,104696,75217,73820,79851,78826,72897,83532,35027,28441,28474,21015,20740,21961
4 h 18 min,133411,133579,133210,114860,116095.5,111388,106364.5,95798,104455,75312,73975,80564.5,79350,73252.5,84332,35107,28627,28900,21153,20779,21750
