time,Se1To1 3 nM,Se1To1 3 nM,Se1To1 3 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 5 nM,Se1Tr1 15 nM + St1 50 nM,Se1Tr1 15 nM + St1 50 nM,Se1Tr1 15 nM + St1 50 nM,sfGFP 3 nM,sfGFP 3 nM,sfGFP 3 nM,Control,Control,Control,Se1To1 3 nM + Se1Tr1 15 nM + St1 15 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 15 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 15 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 10 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 10 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 10 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 5 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 5 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 5 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 15 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 15 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 15 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 10 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 10 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 10 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 5 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 5 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 5 nM + antistar
6 h 30 min,23701,21091,27040,635385,668731,773787,872917,883354,874581,267481,261871,248945,905658,967509,850448,370200,352283,294543,300126,268265,370984,848950,978634,876465,790233,796160,793327,125487,141481,237133,17196,17805,24434,26838,26817,27597,25907,28585,24029,854711,867156,915614,577466,590379,545111,263356,269805,272308,857915,771065,804424,589292,619200,635660,178827,279596,254885
6 h 40 min,24312,21275,27408,635798,678439,783688,872243,881319,876644,266587,261912,249137,943748,1003138,890175,372771,359694,294680,302339,270974,373830,852951,967729,872725,815741,814847,821242,128845,141529,242152,17250,17779,25108,27373,27195,27790,26061,28880,24596,874196,889019,938853,587628,601984,555438,262902,269186,272486,842528,759734,821572,605724,642205,655186,182146,279967,260221
6 h 50 min,24056,20994,27568,638355,664262,775754,878569,888126,881388,267825,263260,249550,918996,984382,889157,363586,346260,288657,302559,269970,372978,857956,977712,879916,804342,802320,804782,124986,139533,238962,16961,17898,24849,27051,26972,27498,26576,29423,24642,874292,881663,925446,582981,599165,548493,262434,269777,273779,858163,771092,810461,590557,623683,638727,178929,281411,256879
7 h ,23962,20791,27425,636650,652904,766596,877593,888854,883354,268774,264332,250939,921430,988328,887053,355266,340732,280517,303756,267715,373129,859056,981604,880233,811547,800780,810447,123403,137791,239044,16817,17451,24622,27291,26993,28315,26609,29665,24577,874554,880906,929488,576078,592207,539748,263658,270946,274563,859221,773086,810241,591712,624536,638300,175501,280393,256192
7 h 10 min,24028,20433,27432,635578,643924,761329,877400,888676,883382,269997,263727,251420,912093,969833,847643,349381,335273,274700,302326,268045,372098,861298,980091,881732,792736,800835,799048,121372,134930,234314,16483,17218,24751,27522,27241,28284,26497,29570,24879,857063,874347,922434,572159,585992,537960,263163,270437,273875,858988,774296,813596,591836,624481,638121,172903,280558,254528
7 h 20 min,24126,20590,27584,635866,650937,770817,877373,886544,883780,266986,263507,251516,938275,979748,840617,346081,340086,272995,304993,270974,374476,856994,974522,878184,795830,815274,811506,122223,134251,233901,16890,17457,25523,28157,28331,28632,26624,28855,25212,857420,875475,934370,574675,587972,546115,263810,270589,274109,848138,763639,831610,608255,641944,655283,173243,279884,259918
7 h 30 min,24343,20703,27900,641270,652257,776276,877964,884427,885623,269255,263920,253318,955202,1007387,884303,345201,338449,272046,305392,272046,374999,860995,973862,877428,825202,820774,830688,121938,133761,234617,16521,17152,26331,28007,28022,28895,26877,29489,25588,867816,891632,944614,575555,592400,548823,263136,271098,272940,847272,762195,834250,608928,644598,658404,175033,280063,259698
7 h 40 min,24398,20013,27723,641614,653275,779631,879298,885939,884550,269007,264126,253249,951283,992921,855894,343798,334860,270176,306478,272748,376429,861504,975320,880535,813459,822314,825917,120919,132635,231261,16554,17092,26446,28082,28213,28967,27099,29164,26017,858836,884702,938990,579928,591877,554076,264731,270589,275168,849623,763075,833934,611926,642370,656575,173836,279609,259519
7 h 50 min,24470,20331,28440,645079,656025,782684,879600,885238,884248,269695,263466,252369,956811,1013231,887246,341983,332963,268622,306038,274219,376525,859235,975127,881910,830083,822465,834690,120574,131778,231440,16540,17093,27275,28436,28622,29259,27192,29494,25818,874361,900295,948794,587010,595796,559192,263906,271056,275209,848441,765702,834662,612614,647720,656589,173711,279857,259506
8 h ,24997,20574,28396,646564,659504,784321,882887,889762,888263,269392,263975,254872,960854,1009752,886751,341254,330364,267206,306121,274535,378313,863030,978208,885417,830097,825683,837110,120367,132323,231124,16964,17618,27752,28710,29141,29226,27200,29692,26376,876960,898288,950555,586363,595095,557170,264057,271551,275553,850270,769140,838238,611472,644942,657991,173973,280476,259506
