time,negative control,negative control,negative control,3 nM sfGFP,3 nM sfGFP,3 nM sfGFP
5 h 1 min,44832,45126,46207,576432,564348,531589
5 h 2 min,44624,45218,46645,576432,564732,532356
5 h 3 min,44969,45319,46144,575460,566677,533384
5 h 4 min,44581,45328,46421,577213,566513,535028
5 h 5 min,44345,44750,46295,579789,569924,536124
5 h 6 min,44605,45117,46214,582858,571459,539330
5 h 7 min,44803,45176,46296,583009,571075,538837
5 h 8 min,44256,45167,46546,587051,574528,541399
5 h 9 min,44735,45008,46107,588161,575501,541412
5 h 10 min,44691,45216,46613,590599,577515,545441
5 h 11 min,44444,45127,46304,591326,580173,546824
5 h 12 min,44204,44826,45787,591901,580639,546016
5 h 13 min,44438,45152,46159,590997,583105,548030
5 h 14 min,45240,45217,46371,593751,583132,551058
5 h 15 min,44455,45206,46394,589997,580433,547948
5 h 16 min,45159,45527,46580,598409,586119,551647
5 h 17 min,44726,45229,46424,592833,585379,552305
5 h 18 min,44874,45744,46788,603013,590229,555634
5 h 19 min,44692,45233,46570,604273,591380,559128
5 h 20 min,44624,45011,46323,602451,590969,557909
5 h 21 min,44760,45163,45982,605506,595367,560950
5 h 22 min,45072,45157,46399,606356,596888,560745
5 h 23 min,44804,45359,46574,611110,600012,563184
5 h 24 min,44526,45010,46859,610576,599834,563800
5 h 25 min,44839,45529,46354,613562,601177,566061
5 h 26 min,44673,45426,46420,614659,603287,567088
5 h 27 min,44887,45063,46272,616015,605328,569404
5 h 28 min,44589,45932,46600,619906,608246,571267
5 h 29 min,44995,45524,46398,620112,609658,570061
5 h 30 min,44879,45443,46190,622276,612179,573021
5 h 31 min,44503,45485,46679,622002,610850,573720
5 h 32 min,44917,45587,46541,624044,613467,575487
5 h 33 min,44810,45493,46346,626894,613864,576569
5 h 34 min,45016,45619,46469,628593,616344,576693
5 h 35 min,44804,45335,46471,631484,618344,581968
5 h 36 min,45375,45273,46667,630977,620906,582365
5 h 37 min,44613,45351,46616,633374,619372,580995
5 h 38 min,45687,45564,47224,636745,621975,587078
5 h 39 min,45151,45723,46777,636046,624181,586544
5 h 40 min,45528,45449,46803,639471,626359,589092
5 h 41 min,44809,45274,46873,636704,624934,587983
5 h 42 min,44597,45442,46724,640403,630045,590312
5 h 43 min,45341,45409,46440,640471,628771,591216
5 h 44 min,44930,45602,46523,643266,632771,593915
5 h 45 min,45192,45455,46756,645774,633415,593888
5 h 46 min,45209,45479,46586,645596,633018,596203
5 h 47 min,44852,45549,46768,646404,633731,596614
5 h 48 min,45044,45446,46538,647897,637759,599793
5 h 49 min,44679,45327,46792,650213,636731,600738
5 h 50 min,45191,45491,46655,651939,638800,599944
5 h 51 min,44758,45140,46545,651843,641266,603314
5 h 52 min,45194,45461,46702,647925,637156,600752
5 h 53 min,44878,45654,46708,658201,646171,605342
5 h 54 min,45004,45481,46700,658913,645472,608246
5 h 55 min,45033,45166,46947,657159,647980,606493
5 h 56 min,44886,45346,46853,658790,646911,608397
5 h 57 min,45006,45328,46796,659050,648939,610288
5 h 58 min,44872,45506,46858,659900,647897,611439
5 h 59 min,44999,45731,46724,660941,648733,611069
6 h ,45091,45605,46695,664215,651706,612576
6 h 1 min,44797,45596,46829,666586,653789,615371
