,Se1To1 3 nM,Se1To1 3 nM,Se1To1 3 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 5 nM,Se1Tr1 15 nM + St1 50 nM,Se1Tr1 15 nM + St1 50 nM,Se1Tr1 15 nM + St1 50 nM,sfGFP 3 nM,sfGFP 3 nM,sfGFP 3 nM,Control,Control,Control,Se1To1 3 nM + Se1Tr1 15 nM + St1 15 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 15 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 15 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 10 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 10 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 10 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 5 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 5 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 5 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 15 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 15 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 15 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 10 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 10 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 10 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 5 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 5 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 5 nM + antistar
13 h 30 min,20182.667,10731.667,25046.667,667500,688456,789497,884952,892556,894124,273279.333,263213.333,249036.333,945568,1012576,951949,314678.667,308683.667,245237.667,303796.667,268772.667,372069.667,854764.667,1002626.667,902122.667,843389,818596,833489,108884.333,120803.333,244743.333,1304,5615,26551,29350,25970,27408,23328,21951,26310,910929,896064,939421,595447.667,598913.667,555611.667,258763,264841,269970,871074.667,791594.667,822713.667,608555.667,629483.667,642698.667,183595.333,271463.333,246711.333
13 h 40 min,20922.667,10936.667,25125.667,658053,694162,790295,874914,887551,892254,272151.333,261934.333,251002.333,963293,1005384,902239,312478.667,316617.667,245058.667,308127.667,267425.667,372756.667,848548.667,995091.667,895934.667,832705,833915,839828,111652.333,120448.333,236809.333,1951,5893,27688,30203,28020,29162,22510,21663,27140,888707,890660,950022,584474.667,590085.667,547814.667,259313,263713,270135,857296.667,781130.667,835996.667,621810.667,647236.667,658113.667,179690.333,273498.333,252294.333
13 h 50 min,21313.667,11182.667,24150.667,650778,691440,790020,867268,886698,895293,273526.333,262649.333,251580.333,966635,979822,851705,308656.667,315119.667,241881.667,309035.667,264702.667,371161.667,840875.667,999299.667,899234.667,830917,833681,844627,110152.333,118890.333,231377.333,2095,6571,26985,31633,29132,30172,22821,21797,25984,862636,874338,941139,574161.667,577365.667,536057.667,258831,264992,269062,858767.667,783976.667,833658.667,621302.667,646892.667,655926.667,177708.333,271765.333,252060.333
14 h ,22290.667,12264.667,27254.667,662783,690821,792784,879575,891071,897080,275272.333,263543.333,252927.333,974005,1027056,942172,309302.667,315490.667,242858.667,308567.667,268428.667,374475.667,839363.667,996906.667,899151.667,849921,840721,851323,110432.333,118804.333,239889.333,2455,6903,28962,31872,30161,30659,24765,22342,29428,902032,901894,957998,584350.667,596396.667,557440.667,259038,264758,269488,858657.667,783770.667,838017.667,624932.667,649450.667,659735.667,179518.333,275396.333,254756.333
14 h 10 min,25111.667,14769.667,30599.667,665506,691261,790941,882821,890879,894756,274159.333,264602.333,252790.333,977773,1025584,938335,309879.667,315187.667,241854.667,308251.667,271550.667,375383.667,826781.667,997209.667,900540.667,857429,839896,857704,111263.333,120755.333,241264.333,4190,8904,30263,35560,31598,32198,26133,23110,31318,904645,902541,959634,588764.667,599903.667,556629.667,261678,267206,271221,858148.667,786328.667,837715.667,624451.667,650563.667,660780.667,183746.333,275808.333,255924.333
14 h 20 min,23479.667,12956.667,29093.667,664612,686641,793801,877980,890329,899404,275699.333,265509.333,253931.333,979973,1029847,941278,306290.667,312753.667,239888.667,312321.667,270409.667,377583.667,943580.667,1000536.667,899000.667,857264,842440,857140,109317.333,119199.333,239972.333,3083,6468,30124,33583,31030,31685,25936,23678,31581,893383,901784,958685,584350.667,591638.667,548942.667,261719,267825,272596,861559.667,786355.667,838897.667,627283.667,651292.667,662293.667,177534.333,276207.333,255691.333
14 h 30 min,23184.667,13728.667,29949.667,665396,688910,793622,875656,889297,900009,277156.333,266389.333,253354.333,973290,1012961,915908,305218.667,312960.667,238114.667,314122.667,271412.667,378889.667,936499.667,1000619.667,901957.667,843252,839044,851928,110578.333,119554.333,238308.333,2895,7297,30462,34193,32008,31912,27681,23595,32630,893424,897040,952030,585588.667,595956.667,553961.667,264923,269598,274012,864749.667,789188.667,842968.667,627971.667,652544.667,658855.667,177144.333,275616.333,255856.333
14 h 40 min,24572.667,13750.667,30798.667,663856,687466,791092,874433,890301,902044,277088.333,267476.333,253299.333,979395,1020772,918630,303568.667,311007.667,235996.667,315800.667,270711.667,377280.667,925017.667,1002186.667,904115.667,855710,839800,857415,109350.333,118867.333,235901.333,4254,7995,31070,36434,33135,33032,27312,24478,32538,885311,896559,955784,581641.667,587224.667,547869.667,263864,270162,274315,861957.667,789325.667,841386.667,627379.667,651443.667,662829.667,177413.333,277541.333,257286.333
14 h 50 min,27123.667,15858.667,31595.667,638829,674306,774454,868685,881129,885585,276084.333,263736.333,254481.333,963706,990231,870104,300625.667,306180.667,236299.667,314411.667,264867.667,371642.667,940830.667,995339.667,894476.667,828800,831563,833874,107093.333,118340.333,231487.333,5507,10798,30709,38161,36627,37625,30260,25957,33020,865070,875782,935955,565512.667,577227.667,533500.667,254679,263562,268650,842981.667,775437.667,826081.667,622305.667,644018.667,650990.667,174310.333,275107.333,255182.333
15 h ,26093.667,14816.667,32978.667,663773,679848,785826,875711,892653,902113,278518.333,267902.333,255141.333,980000,1022463,925836,299415.667,309577.667,233026.667,317519.667,272911.667,379590.667,913136.667,1004992.667,905380.667,856686,842647,857649,109321.333,118618.333,236300.333,5034,8864,32231,37811,34969,34984,29081,25920,34602,890454,898223,957104,578506.667,594347.667,551665.667,266174,271455,276006,864749.667,790879.667,840589.667,628727.667,652970.667,663420.667,176667.333,279603.333,259912.333
15 h 10 min,25885.667,15147.667,32589.667,661394,676231,787916,876069,891332,901096,280182.333,269635.333,255031.333,983246,1036943,921243,294245.667,305685.667,229629.667,317285.667,269817.667,376799.667,909066.667,1003342.667,906714.667,867343,843362,861142,108091.333,116470.333,234719.333,4494,8202,31751,37414,34860,35127,30452,26559,34554,884885,899076,959703,567519.667,577461.667,535604.667,265844,271991,277464,866619.667,792351.667,839282.667,629360.667,655307.667,665442.667,174114.333,278503.333,259981.333
15 h 20 min,27503.667,16194.667,34604.667,665341,675723,787943,882216,894976,900435,280237.333,269717.333,255815.333,980688,1037726,946435,294341.667,305878.667,229767.667,319155.667,274534.667,380539.667,908364.667,1004249.667,904569.667,864909,842055,861678,107401.333,116620.333,239765.333,5983,10233,33070,40406,37135,37492,31977,27500,36386,900258,902445,960281,575962.667,591625.667,549575.667,268883,273064,278220,867183.667,794895.667,840286.667,629758.667,654414.667,667669.667,174387.333,282766.333,262662.333
15 h 30 min,28016.667,16401.667,35297.667,668187,675282,789373,882532,894701,904079,280044.333,271285.333,255953.333,980853,1042828,962991,292787.667,305410.667,228804.667,318784.667,274438.667,381158.667,903840.667,1005170.667,907058.667,863960,844462,859395,107141.333,116404.333,242529.333,6380,10373,33728,40968,38244,38459,32181,29249,36224,914435,909842,965451,575907.667,597909.667,553961.667,266972,272954,277904,867307.667,796600.667,840699.667,631120.667,653905.667,666432.667,174372.333,283591.333,263570.333
15 h 40 min,29254.667,17571.667,34250.667,659400,674554,789043,878640,893986,901893,281667.333,270845.333,256035.333,971750,1014254,899145,288552.667,302757.667,226027.667,316790.667,271770.667,375795.667,897171.667,1008099.667,907636.667,845191,841423,848931,106567.333,115003.333,236300.333,6373,11046,33850,41457,41091,41238,33744,31083,35776,885490,892351,956582,570187.667,585024.667,541805.667,266779,272184,277244,868544.667,797686.667,841180.667,631285.667,652379.667,667326.667,172953.333,284870.333,262814.333
15 h 50 min,28587.667,17122.667,35606.667,667541,673880,785042,878503,894963,902512,281639.333,271890.333,256406.333,982613,1044313,955043,288071.667,301574.667,224679.667,319650.667,273021.667,378820.667,892097.667,1003809.667,908777.667,869750,844132,862324,106353.333,114823.333,241017.333,6628,11002,33484,41294,38369,38843,33168,32951,35908,912785,910282,967046,571851.667,599930.667,553892.667,271070,274906,279196,869919.667,798209.667,841647.667,631876.667,655885.667,669952.667,173699.333,283866.333,264202.333
16 h ,30691.667,17890.667,37966.667,671006,673811,786953,884031,897342,904630,283770.333,272371.333,257108.333,985611,1050776,975009,286187.667,300103.667,224762.667,320957.667,274424.667,380305.667,888673.667,1008457.667,909176.667,865501,845686,864565,105553.333,114393.333,246105.333,7552,12105,34983,43691,41100,40536,34441,34446,37715,925532,913720,969782,578726.667,600728.667,557069.667,270258,275773,279513,870634.667,801509.667,843119.667,631450.667,657769.667,667958.667,174375.333,286603.333,265660.333
16 h 10 min,30740.667,18779.667,38328.667,667513,673742,785537,880593,897094,903626,283592.333,273884.333,256970.333,987302,1047820,973180,284275.667,299938.667,222685.667,322084.667,275428.667,381653.667,884163.667,1009447.667,910537.667,868264,847074,865789,107153.333,115453.333,247878.333,8002,12269,34967,44176,41044,41038,35217,36551,37629,924363,913651,966455,574299.667,601181.667,554937.667,269777,275319,282428,872078.667,799061.667,845126.667,635671.667,659859.667,667161.667,173683.333,286190.333,266031.333
16 h 20 min,31681.667,18779.667,38633.667,669095,672312,787943,887056,898180,904533,284719.333,275039.333,257823.333,987742,1043818,974349,282158.667,298164.667,222287.667,322455.667,275923.667,381955.667,881000.667,1008168.667,909918.667,867714,847899,864469,106447.333,113989.333,249020.333,7368,11745,35536,44643,41744,42391,35879,37904,37994,932256,917488,970690,578438.667,602543.667,557990.667,271359,275800,282235,872339.667,803049.667,842362.667,635080.667,659350.667,667656.667,174095.333,287771.333,267118.333
16 h 30 min,31414.667,18717.667,38532.667,669961,670855,787118,885213,901068,907930,286273.333,276235.333,258455.333,984208,1049470,980482,279105.667,296734.667,220086.667,324422.667,275166.667,383069.667,876682.667,1006903.667,912022.667,862022,848257,860853,107259.333,113359.333,253035.333,7617,11709,35652,44993,41878,41931,36248,39309,38017,937427,914119,968064,573652.667,606984.667,559090.667,273641,279141,283115,871941.667,803888.667,841524.667,633114.667,658649.667,669993.667,175225.333,289202.333,266911.333
