,To1 3 nM + Se1Tr1 15 nM + St1 15 nM,To1 3 nM + Se1Tr1 15 nM + St1 15 nM,To1 3 nM + Se1Tr1 15 nM + St1 15 nM,To1 3 nM + Se1Tr1 15 nM + St1 10 nM,To1 3 nM + Se1Tr1 15 nM + St1 10 nM,To1 3 nM + Se1Tr1 15 nM + St1 10 nM,To1 3 nM + Se1Tr1 15 nM + St1 5 nM,To1 3 nM + Se1Tr1 15 nM + St1 5 nM,To1 3 nM + Se1Tr1 15 nM + St1 5 nM,To1 3 nM + Se1Tr1 10 nM + St1 15 nM,To1 3 nM + Se1Tr1 10 nM + St1 15 nM,To1 3 nM + Se1Tr1 10 nM + St1 15 nM,To1 3 nM + Se1Tr1 10 nM + St1 10 nM,To1 3 nM + Se1Tr1 10 nM + St1 10 nM,To1 3 nM + Se1Tr1 10 nM + St1 10 nM,To1 3 nM + Se1Tr1 10 nM + St1 5 nM,To1 3 nM + Se1Tr1 10 nM + St1 5 nM,To1 3 nM + Se1Tr1 10 nM + St1 5 nM,To1 3 nM + Se1Tr1 5 nM + St1 15 nM,To1 3 nM + Se1Tr1 5 nM + St1 15 nM,To1 3 nM + Se1Tr1 5 nM + St1 15 nM,To1 3 nM + Se1Tr1 5 nM + St1 10 nM,To1 3 nM + Se1Tr1 5 nM + St1 10 nM,To1 3 nM + Se1Tr1 5 nM + St1 10 nM,To1 3 nM + Se1Tr1 5 nM + St1 5 nM,To1 3 nM + Se1Tr1 5 nM + St1 5 nM,To1 3 nM + Se1Tr1 5 nM + St1 5 nM,To1 3 nM + Se1Tr1 15 nM,To1 3 nM + Se1Tr1 15 nM,To1 3 nM + Se1Tr1 15 nM,To1 3 nM + Se1Tr1 10 nM,To1 3 nM + Se1Tr1 10 nM,To1 3 nM + Se1Tr1 10 nM,To1 3 nM + Se1Tr1 5 nM,To1 3 nM + Se1Tr1 5 nM,To1 3 nM + Se1Tr1 5 nM,To1 3 nM,To1 3 nM,To1 3 nM,sfGFP 3 nM,sfGFP 3 nM,sfGFP 3 nM,Control,Control,Control
3 h 20 min,835132.333,686801.333,771039.333,694075.333,586928.333,603292.333,288323,304631,305470,685386,775510,726268,695864.667,598961.667,654556.667,336107.667,367335.667,321325.667,973440.667,998535.667,859996.667,792081,685718,656209,285763.333,305894.333,288733.333,43932.667,45699.667,37897.667,34096,41270,37355,39195.667,41931.667,33160.667,2845.667,1298.667,516.667,1138,1157,1743,1703,3936,400
3 h 30 min,851220.333,712144.333,790056.333,716063.333,602907.333,626352.333,304673,317103,315110,720699,822579,764963,729980.667,640558.667,675870.667,348469.667,384043.667,331776.667,1031180.667,1043171.667,903008.667,827407,721072,691095,300806.333,319878.333,304024.333,44331.667,46515.667,37605.667,34630,43628,37765,40929.667,43252.667,34580.667,2656.667,907.667,506.667,1467,1516,2259,2297,4815,107
3 h 40 min,907282.333,758979.333,851908.333,762898.333,637642.333,663053.333,321517,338679,336176,752601,849668,797800,760383.667,666409.667,740444.667,379051.667,410169.667,358067.667,1100828.667,1098655.667,957310.667,846136,761128,730079,311477.333,332557.333,320002.333,48145.667,50847.667,40994.667,37515,45672,40481,43447.667,47596.667,36038.667,3351.667,1907.667,1199.667,2044,1789,2477,2063,4827,819
3 h 50 min,935279.333,788172.333,882256.333,795020.333,656068.333,688960.333,334540,351302,347603,776706,885819,826071,785932.667,697486.667,779826.667,398192.667,427014.667,372684.667,1154869.667,1141915.667,1001189.667,861991,789799,754720,323027.333,344259.333,331979.333,49926.667,53996.667,42656.667,38735,47751,42159,45757.667,50042.667,37462.667,3227.667,2417.667,1423.667,2546,1918,2328,2579,5087,1400
4 h ,939267.333,793645.333,874129.333,801510.333,655958.333,700992.333,346049,355372,348455,796411,918271,852803,799738.667,736126.667,789493.667,404999.667,436227.667,378556.667,1191969.667,1165498.667,1021486.667,879413,820573,787103,333396.333,352688.333,343282.333,49144.667,53142.667,42532.667,38123,49314,41477,47682.667,50737.667,38207.667,3300.667,1465.667,691.667,2199,2152,3169,2937,5741,973
4 h 10 min,954420.333,811081.333,892968.333,819015.333,665570.333,715031.333,354135,363045,355592,811564,939846,873457,814038.667,773047.667,816500.667,414239.667,446086.667,388800.667,1238749.667,1193330.667,1053470.667,888997,844623,812075,341357.333,360718.333,352936.333,49979.667,54515.667,43243.667,39137,50120,42732,49627.667,52480.667,38668.667,3590.667,1492.667,1292.667,2236,2408,3075,2998,5545,1168
4 h 20 min,990365.333,843781.333,932488.333,849418.333,687255.333,737720.333,360460,374596,367349,822826,945814,883536,826345.667,795392.667,868038.667,433862.667,461996.667,405645.667,1291112.667,1230072.667,1089882.667,890854,865758,833389,346720.333,363496.333,361461.333,52333.667,57206.667,45158.667,41112,51887,44806,50896.667,54470.667,39103.667,3976.667,2089.667,1070.667,2581,2621,3286,2765,5555,1631
4 h 30 min,1000843.333,852251.333,943076.333,858893.333,696358.333,746562.333,365451,379189,372836,829124,958891,898043,833386.667,827391.667,891552.667,441521.667,470508.667,410719.667,1321777.667,1246944.667,1104774.667,895515,879344,847002,351368.333,367635.333,367773.333,53249.667,58672.667,46365.667,42429,53231,45936,52440.667,55628.667,40213.667,3838.667,2502.667,1190.667,2750,2488,3064,2531,5634,1768
4 h 40 min,986886.333,841320.333,925640.333,852416.333,683047.333,745627.333,367349,376328,365946,837265,972546,904424,838955.667,870486.667,882050.667,438510.667,467469.667,407364.667,1323894.667,1244909.667,1109903.667,906502,890001,864108,355067.333,372145.333,371678.333,51991.667,57270.667,44142.667,40983,51916,44190,52374.667,55511.667,40464.667,3336.667,1418.667,516.667,2331,2762,3092,2959,5711,1249
4 h 50 min,1020479.333,867859.333,958312.333,874500.333,705199.333,764301.333,373716,385005,378804,837595,980108,915878,846243.667,884800.667,923509.667,450885.667,480120.667,420084.667,1361283.667,1268740.667,1136924.667,903312,900699,870131,359110.333,372764.333,375982.333,54381.667,59991.667,46745.667,42732,53699,46757,53751.667,56553.667,41521.667,3625.667,2524.667,1295.667,2277,2291,3108,3045,5314,1721
5 h ,1024440.333,871819.333,957597.333,881912.333,705736.333,770722.333,374073,386325,377965,843590,984220,920650,848649.667,913746.667,927345.667,453677.667,485194.667,423562.667,1373617.667,1276426.667,1151720.667,907877,910339,878973,360884.333,375776.333,379530.333,54806.667,59606.667,47582.667,43546,54155,47331,54196.667,57004.667,41522.667,3814.667,2217.667,1316.667,2387,2490,2848,2583,5494,1453
5 h 10 min,1030627.333,876343.333,965558.333,886711.333,709504.333,774229.333,376012,387412,379725,848595,995179,927690,852665.667,935569.667,937122.667,457637.667,487504.667,425158.667,1382102.667,1277884.667,1159145.667,908950,915454,888585,363042.333,377921.333,379296.333,55357.667,61298.667,48129.667,43938,53831,47832,54704.667,57443.667,41978.667,3988.667,2773.667,1399.667,2400,2130,3133,2873,5186,1763
5 h 20 min,1029665.333,880056.333,968116.333,886353.333,713340.333,773637.333,377318,388938,383658,850548,994904,930867,857519.667,962396.667,943255.667,459975.667,491560.667,429104.667,1399139.667,1286368.667,1163876.667,910284,923416,892297,365531.333,379708.333,382940.333,56106.667,61696.667,48081.667,44146,53888,48294,55514.667,58767.667,42393.667,4019.667,2803.667,1591.667,2465,2627,3009,2662,5634,1349
5 h 30 min,1034711.333,881541.333,972846.333,893641.333,711346.333,782204.333,379477,390492,383424,853119,1001725,931705,861204.667,982459.667,950131.667,461267.667,492564.667,431249.667,1399771.667,1288720.667,1176856.667,908853,924694,895845,364005.333,381400.333,387148.333,56143.667,61823.667,48637.667,44398,54616,48215,55557.667,58706.667,42230.667,4044.667,2833.667,1547.667,2688,2542,2976,2757,5314,1654
5 h 40 min,1036664.333,888746.333,975762.333,894810.333,713450.333,784954.333,380137,391454,384428,851882,1004805,933617,861300.667,1003786.667,954545.667,463206.667,493953.667,431469.667,1404460.667,1291002.667,1170435.667,911205,930456,898788,366508.333,383132.333,386900.333,56765.667,62622.667,48819.667,45107,53831,47672,55573.667,58788.667,42431.667,4857.667,3046.667,1559.667,2348,2271,3102,2655,5814,1670
